Data;Liczba
1992.96;-28.64
1992.985;-31.88
1993.01;-30.55
1993.039;-33.58
1993.064;-37.07
1993.096;-38.58
1993.119;-36.19
1993.147;-32.07
1993.175;-31.12
1993.202;-31.27
1993.229;-32.14
1993.283;-34.61
1993.311;-30.06
1993.338;-31.8
1993.365;-31.03
1993.392;-35.05
1993.419;-35.78
1993.446;-33.02
1993.474;-29.87
1993.501;-28.94
1993.528;-28.03
1993.582;-30.98
1993.61;-28.46
1993.637;-24.27
1993.664;-21.94
1993.691;-23.62
1993.717;-25.45
1993.745;-22.62
1993.772;-18.33
1993.799;-20.51
1993.854;-21.62
1993.881;-24.34
1993.908;-24.47
1993.935;-23.86
1993.963;-20.01
1993.989;-22.3
1994.017;-29.24
1994.044;-27.08
1994.071;-26.2
1994.098;-30.02
1994.126;-31.6
1994.153;-29.32
1994.18;-25.89
1994.234;-27.14
1994.261;-26.51
1994.289;-25.91
1994.316;-26.01
1994.343;-29.04
1994.37;-30.89
1994.397;-33.06
1994.424;-30.04
1994.451;-26.13
1994.506;-31.39
1994.533;-27.67
1994.56;-26.56
1994.587;-24.64
1994.615;-23.65
1994.642;-21.19
1994.669;-21.33
1994.696;-19.04
1994.723;-19.88
1994.75;-19.74
1994.777;-18.81
1994.805;-15.19
1994.832;-16.07
1994.886;-22.09
1994.913;-24.89
1994.941;-19.45
1994.968;-18.93
1994.995;-20.68
1995.022;-20.79
1995.049;-23.97
1995.076;-19.06
1995.104;-22.87
1995.131;-27.14
1995.158;-23.88
1995.212;-20.16
1995.239;-26.57
1995.267;-24.72
1995.294;-23.85
1995.321;-25.02
1995.375;-27.71
1995.402;-25.64
1995.429;-22.95
1995.457;-24.89
1995.484;-28.16
1995.538;-29.09
1995.565;-26.27
1995.592;-24.63
1995.62;-21.22
1995.647;-22.04
1995.674;-20.17
1995.701;-16.09
1995.728;-9.79
1995.756;-14.58
1995.783;-16.62
1995.837;-17.27
1995.864;-18.02
1995.89;-16.31
1995.946;-19.17
1995.973;-15.88
1996.0;-20.16
1996.027;-23.22
1996.053;-23.07
1996.081;-24.43
1996.108;-20.69
1996.163;-21.57
1996.19;-24.46
1996.217;-22.16
1996.244;-21.14
1996.271;-23.21
1996.298;-24.55
1996.325;-24.5
1996.352;-23.11
1996.379;-23.08
1996.406;-21.58
1996.433;-22.23
1996.488;-22.69
1996.515;-22.37
1996.542;-19.97
1996.569;-17.21
1996.596;-18.55
1996.623;-20.4
1996.65;-19.86
1996.677;-20.67
1996.704;-15.65
1996.732;-12.72
1996.759;-10.82
1996.813;-7.28
1996.84;-6.62
1996.867;-9.85
1996.894;-16.66
1996.921;-17.1
1996.948;-17.51
1996.975;-22.65
1997.002;-23.0
1997.03;-20.01
1997.057;-22.53
1997.084;-21.71
1997.138;-23.58
1997.165;-22.88
1997.193;-23.71
1997.22;-21.47
1997.247;-19.97
1997.274;-21.35
1997.301;-24.03
1997.328;-21.74
1997.356;-19.39
1997.383;-21.66
1997.41;-19.15
1997.464;-22.56
1997.491;-19.7
1997.519;-17.81
1997.546;-12.89
1997.573;-14.95
1997.627;-13.11
1997.654;-10.79
1997.681;-8.17
1997.709;-4.23
1997.736;-4.13
1997.79;-6.66
1997.817;-5.42
1997.845;-4.84
1997.872;-10.63
1997.899;-12.76
1997.926;-12.39
1997.953;-17.0
1997.98;-14.07
1998.008;-15.83
1998.035;-14.77
1998.089;-17.54
1998.116;-18.35
1998.143;-18.23
1998.171;-18.3
1998.198;-16.94
1998.225;-16.63
1998.252;-19.68
1998.278;-17.44
1998.306;-17.88
1998.334;-18.09
1998.361;-20.28
1998.415;-24.05
1998.442;-23.11
1998.469;-22.25
1998.497;-19.36
1998.524;-19.79
1998.551;-22.39
1998.605;-18.64
1998.632;-19.48
1998.659;-15.83
1998.687;-15.17
1998.714;-16.33
1998.741;-15.86
1998.768;-15.51
1998.823;-12.22
1998.85;-15.35
1998.877;-17.07
1998.904;-20.1
1998.931;-15.05
1998.958;-17.61
1998.986;-17.9
1999.013;-21.46
1999.04;-19.39
1999.094;-24.8
1999.125;-11.85
1999.148;-17.03
1999.176;-18.61
1999.203;-20.17
1999.23;-18.06
1999.257;-17.55
1999.284;-18.58
1999.339;-19.78
1999.366;-20.91
1999.393;-22.42
1999.42;-18.85
1999.447;-21.51
1999.474;-20.42
1999.502;-17.92
1999.529;-17.14
1999.556;-17.71
1999.583;-14.75
1999.61;-16.1
1999.637;-11.01
1999.692;-10.95
1999.719;-6.67
1999.746;-7.19
1999.773;-3.61
1999.801;-4.74
1999.828;-7.88
