Product;Water;Type
Beef;15415;Meat
Nuts;9063;Plants
Mutton/Chevon;8763;Meat
Pork;5988;Meat
Butter;5553;Dairy
Poultry;4325;Meat
Pulses;4055;Plants
Eggs;3265;Dairy
Oil Crops;2364;Plants
Cereals;1644;Plants
Milk;1020;Dairy
Fruits;962;Plants
Starchy roots;387;Plants
Vegetables;322;Plants
Sugar crops;197;Plants
