"";"godz";"count"
"1";"00";26,3963039014374
"2";"01";29,2327044025157
"3";"02";14
"4";"04";8
"5";"05";37,4
"6";"06";23,3809523809524
"7";"07";18,5
"8";"08";21,9295774647887
"9";"09";21,9733333333333
"10";"10";27,4765100671141
"11";"11";26,6053811659193
"12";"12";25,5878787878788
"13";"13";26,3598233995585
"14";"14";25,9689781021898
"15";"15";27,6885880077369
"16";"16";24,6612021857923
"17";"17";25,4645061728395
"18";"18";28,1065375302663
"19";"19";25,9650485436893
"20";"20";27,1058091286307
"21";"21";27,3644670050761
"22";"22";26,7666666666667
"23";"23";24,4234693877551
