"";"godz";"count"
"1";"00";487
"2";"01";159
"3";"02";2
"4";"04";1
"5";"05";5
"6";"06";21
"7";"07";24
"8";"08";71
"9";"09";150
"10";"10";149
"11";"11";446
"12";"12";495
"13";"13";453
"14";"14";548
"15";"15";517
"16";"16";366
"17";"17";648
"18";"18";413
"19";"19";515
"20";"20";482
"21";"21";985
"22";"22";780
"23";"23";588
