"";"godz";"count"
"1";"00";20227
"2";"01";10453
"3";"02";5576
"4";"03";2810
"5";"04";806
"6";"05";337
"7";"06";839
"8";"07";5065
"9";"08";6913
"10";"09";9417
"11";"10";16167
"12";"11";21185
"13";"12";25687
"14";"13";27387
"15";"14";28028
"16";"15";29475
"17";"16";30876
"18";"17";33637
"19";"18";35599
"20";"19";41899
"21";"20";45553
"22";"21";49563
"23";"22";47109
"24";"23";40016
