"master_metadata_album_artist_name","master_metadata_track_name","master_metadata_album_album_name","spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"The Beatles","Yesterday - Remastered 2009","Help! (Remastered)","spotify:track:3BQHpFgAp4l80e1XslIjNI","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,"audio_features","3BQHpFgAp4l80e1XslIjNI","spotify:track:3BQHpFgAp4l80e1XslIjNI","https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI","https://api.spotify.com/v1/audio-analysis/3BQHpFgAp4l80e1XslIjNI",125667,4
"The Beatles","I Want To Hold Your Hand - Remastered 2009","The Beatles 1962 - 1966 (Remastered)","spotify:track:5Qe7NHxeLAn8KoLTNLSdwe","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.496,0.703,7,-6.905,1,0.0376,0.525,2.08e-06,0.305,0.936,130.915,"audio_features","5Qe7NHxeLAn8KoLTNLSdwe","spotify:track:5Qe7NHxeLAn8KoLTNLSdwe","https://api.spotify.com/v1/tracks/5Qe7NHxeLAn8KoLTNLSdwe","https://api.spotify.com/v1/audio-analysis/5Qe7NHxeLAn8KoLTNLSdwe",146720,4
"The Beatles","Ob-La-Di, Ob-La-Da - Remastered 2009","The Beatles (Remastered)","spotify:track:1gFNm7cXfG1vSMcxPpSxec","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,"audio_features","1gFNm7cXfG1vSMcxPpSxec","spotify:track:1gFNm7cXfG1vSMcxPpSxec","https://api.spotify.com/v1/tracks/1gFNm7cXfG1vSMcxPpSxec","https://api.spotify.com/v1/audio-analysis/1gFNm7cXfG1vSMcxPpSxec",188960,4
"The Beatles","Tomorrow Never Knows - Remastered 2009","Revolver (Remastered)","spotify:track:00oZhqZIQfL9P5CjOP6JsO","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.38,0.829,5,-6.105,1,0.0405,8.4e-05,0.00208,0.342,0.0534,125.887,"audio_features","00oZhqZIQfL9P5CjOP6JsO","spotify:track:00oZhqZIQfL9P5CjOP6JsO","https://api.spotify.com/v1/tracks/00oZhqZIQfL9P5CjOP6JsO","https://api.spotify.com/v1/audio-analysis/00oZhqZIQfL9P5CjOP6JsO",179547,4
"The Beatles","Got To Get You Into My Life - Remastered 2009","Revolver (Remastered)","spotify:track:3tGhRLgcCP6SIZU3tbGl7l","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,"audio_features","3tGhRLgcCP6SIZU3tbGl7l","spotify:track:3tGhRLgcCP6SIZU3tbGl7l","https://api.spotify.com/v1/tracks/3tGhRLgcCP6SIZU3tbGl7l","https://api.spotify.com/v1/audio-analysis/3tGhRLgcCP6SIZU3tbGl7l",149240,4
"The Beatles","Yellow Submarine - Remastered 2009","Revolver (Remastered)","spotify:track:50xwQXPtfNZFKFeZ0XePWc","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.604,0.549,1,-9.873,1,0.0389,0.531,0,0.438,0.696,111.398,"audio_features","50xwQXPtfNZFKFeZ0XePWc","spotify:track:50xwQXPtfNZFKFeZ0XePWc","https://api.spotify.com/v1/tracks/50xwQXPtfNZFKFeZ0XePWc","https://api.spotify.com/v1/audio-analysis/50xwQXPtfNZFKFeZ0XePWc",158880,4
"The Beatles","Eleanor Rigby - Remastered 2009","Revolver (Remastered)","spotify:track:5GjPQ0eI7AgmOnADn1EO6Q","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,"audio_features","5GjPQ0eI7AgmOnADn1EO6Q","spotify:track:5GjPQ0eI7AgmOnADn1EO6Q","https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q","https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q",126533,4
"The Beatles","Here, There And Everywhere - Remastered 2009","Revolver (Remastered)","spotify:track:2B4Y9u4ERAFiMo13XPJyGP","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.29,0.247,7,-12.125,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,"audio_features","2B4Y9u4ERAFiMo13XPJyGP","spotify:track:2B4Y9u4ERAFiMo13XPJyGP","https://api.spotify.com/v1/tracks/2B4Y9u4ERAFiMo13XPJyGP","https://api.spotify.com/v1/audio-analysis/2B4Y9u4ERAFiMo13XPJyGP",144880,4
"The Beatles","Taxman - Remastered 2009","Revolver (Remastered)","spotify:track:4BRkPBUxOYffM2QXVlq7aC","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.469,0.596,7,-8.348,1,0.0749,0.0101,0,0.321,0.783,133.586,"audio_features","4BRkPBUxOYffM2QXVlq7aC","spotify:track:4BRkPBUxOYffM2QXVlq7aC","https://api.spotify.com/v1/tracks/4BRkPBUxOYffM2QXVlq7aC","https://api.spotify.com/v1/audio-analysis/4BRkPBUxOYffM2QXVlq7aC",158853,4
"The Beatles","I'm Only Sleeping - Remastered 2009","Revolver (Remastered)","spotify:track:2ylCrFiBu98SC0vFfaCent","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.494,0.47,8,-9.599,0,0.0301,0.21,0,0.28,0.698,103.477,"audio_features","2ylCrFiBu98SC0vFfaCent","spotify:track:2ylCrFiBu98SC0vFfaCent","https://api.spotify.com/v1/tracks/2ylCrFiBu98SC0vFfaCent","https://api.spotify.com/v1/audio-analysis/2ylCrFiBu98SC0vFfaCent",180320,4
"The Beatles","I Want To Tell You - Remastered 2009","Revolver (Remastered)","spotify:track:7orb0y6ySGdsYZywMoQtsD","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.493,0.525,9,-9.289,1,0.0315,0.182,4.4e-06,0.148,0.449,127.492,"audio_features","7orb0y6ySGdsYZywMoQtsD","spotify:track:7orb0y6ySGdsYZywMoQtsD","https://api.spotify.com/v1/tracks/7orb0y6ySGdsYZywMoQtsD","https://api.spotify.com/v1/audio-analysis/7orb0y6ySGdsYZywMoQtsD",147973,4
"The Beatles","She Said She Said - Remastered 2009","Revolver (Remastered)","spotify:track:3VSuWxZM6x6V3ig5nYtikL","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.329,0.678,3,-7.878,1,0.0344,0.103,0.168,0.843,0.672,106.476,"audio_features","3VSuWxZM6x6V3ig5nYtikL","spotify:track:3VSuWxZM6x6V3ig5nYtikL","https://api.spotify.com/v1/tracks/3VSuWxZM6x6V3ig5nYtikL","https://api.spotify.com/v1/audio-analysis/3VSuWxZM6x6V3ig5nYtikL",156040,4
"The Beatles","Good Day Sunshine - Remastered 2009","Revolver (Remastered)","spotify:track:7HTH1ppjkkOe7RLoBDKXYJ","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.77,0.496,11,-8.45,1,0.0468,0.719,0,0.123,0.571,117.331,"audio_features","7HTH1ppjkkOe7RLoBDKXYJ","spotify:track:7HTH1ppjkkOe7RLoBDKXYJ","https://api.spotify.com/v1/tracks/7HTH1ppjkkOe7RLoBDKXYJ","https://api.spotify.com/v1/audio-analysis/7HTH1ppjkkOe7RLoBDKXYJ",129293,3
"The Beatles","Love You To - Remastered 2009","Magical Mystery Tour (Remastered)","spotify:track:68BTFws92cRztMS1oQ7Ewj","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,"audio_features","68BTFws92cRztMS1oQ7Ewj","spotify:track:68BTFws92cRztMS1oQ7Ewj","https://api.spotify.com/v1/tracks/68BTFws92cRztMS1oQ7Ewj","https://api.spotify.com/v1/audio-analysis/68BTFws92cRztMS1oQ7Ewj",230387,4
"The Beatles","For No One - Remastered 2009","Revolver (Remastered)","spotify:track:1kDkaFlmkdEZiVUogaP9OZ","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.483,0.351,1,-10.487,0,0.0278,0.783,0,0.115,0.713,81.208,"audio_features","1kDkaFlmkdEZiVUogaP9OZ","spotify:track:1kDkaFlmkdEZiVUogaP9OZ","https://api.spotify.com/v1/tracks/1kDkaFlmkdEZiVUogaP9OZ","https://api.spotify.com/v1/audio-analysis/1kDkaFlmkdEZiVUogaP9OZ",119813,4
"Paul McCartney","Say Say Say - Remastered 2015","Pipes Of Peace","spotify:track:1db0gbTSKdRQum8VlbNkiO","album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock",0.822,0.686,10,-10.456,0,0.0472,0.115,0.000982,0.0463,0.828,117.743,"audio_features","1db0gbTSKdRQum8VlbNkiO","spotify:track:1db0gbTSKdRQum8VlbNkiO","https://api.spotify.com/v1/tracks/1db0gbTSKdRQum8VlbNkiO","https://api.spotify.com/v1/audio-analysis/1db0gbTSKdRQum8VlbNkiO",235693,4
"The Beatles","A Hard Day's Night - Remastered 2009","A Hard Day's Night (Remastered)","spotify:track:5J2CHimS7dWYMImCHkEFaJ","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,"audio_features","5J2CHimS7dWYMImCHkEFaJ","spotify:track:5J2CHimS7dWYMImCHkEFaJ","https://api.spotify.com/v1/tracks/5J2CHimS7dWYMImCHkEFaJ","https://api.spotify.com/v1/audio-analysis/5J2CHimS7dWYMImCHkEFaJ",154200,4
"Paul McCartney","Hope Of Deliverance","Off The Ground","spotify:track:3gcAVW0ZYaajy5PK9dAhut","album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock",0.638,0.786,9,-10.915,0,0.0341,0.181,5.3e-06,0.104,0.812,159.996,"audio_features","3gcAVW0ZYaajy5PK9dAhut","spotify:track:3gcAVW0ZYaajy5PK9dAhut","https://api.spotify.com/v1/tracks/3gcAVW0ZYaajy5PK9dAhut","https://api.spotify.com/v1/audio-analysis/3gcAVW0ZYaajy5PK9dAhut",202000,4
"Paul McCartney","Maybe I’m Amazed - Remastered 2011","McCartney (Archive Collection)","spotify:track:1Qa0Y05al633fG8f9Peytc","album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock",0.471,0.494,7,-10.407,1,0.0312,0.387,0.0944,0.617,0.373,79.255,"audio_features","1Qa0Y05al633fG8f9Peytc","spotify:track:1Qa0Y05al633fG8f9Peytc","https://api.spotify.com/v1/tracks/1Qa0Y05al633fG8f9Peytc","https://api.spotify.com/v1/audio-analysis/1Qa0Y05al633fG8f9Peytc",229827,4
"Paul McCartney","No More Lonely Nights","Give My Regards To Broad Street","spotify:track:3CCBwpqjdar1PG6HHulmD0","album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock",0.32,0.428,5,-14.262,1,0.0536,0.00349,0.000276,0.519,0.411,172.603,"audio_features","3CCBwpqjdar1PG6HHulmD0","spotify:track:3CCBwpqjdar1PG6HHulmD0","https://api.spotify.com/v1/tracks/3CCBwpqjdar1PG6HHulmD0","https://api.spotify.com/v1/audio-analysis/3CCBwpqjdar1PG6HHulmD0",312733,4
