"ts","artistName","trackName","ms_played"
"2021-01-07 02:55","Mr Hudson","Everything Happens To Me",5333
"2021-01-07 02:55","Mr Hudson","ANTIDOTE",0
"2021-01-07 02:55","Mr Hudson","Too Late, Too Late",9621
"2021-01-07 02:57","Mr Hudson","Cover Girl",77558
"2021-01-07 02:59","Mr Hudson","2x2",115102
"2021-01-08 12:57","slowthai","MAZZA (feat. A$AP Rocky)",36269
"2021-01-08 14:46","slowthai","MAZZA (feat. A$AP Rocky)",152597
"2021-01-08 14:49","slowthai","MAZZA (feat. A$AP Rocky)",171866
"2021-01-08 14:49","slowthai","nhs",16434
"2021-01-08 14:52","slowthai","MAZZA (feat. A$AP Rocky)",171866
"2021-01-08 14:55","slowthai","nhs",206200
"2021-01-08 14:56","slowthai","feel away (feat. James Blake & Mount Kimbie)",29129
"2021-01-08 15:01","Kanye West","Real Friends",319563
"2021-01-08 15:04","Kanye West","Feedback",147240
"2021-01-08 15:07","Jay Sean","Down",5104
"2021-01-08 15:07","JAY-Z","Otis",178213
"2021-01-08 15:07","JAY-Z","Otis",1927
"2021-01-08 15:11","Outkast","Benz Or Beamer",277000
"2021-01-08 15:15","Kanye West","Real Friends",251573
"2021-01-08 15:18","Kanye West","Feedback",147240
"2021-01-08 15:21","JAY-Z","Otis",178213
"2021-01-08 15:24","Jay Sean","Down",212106
"2021-01-08 15:32","Iyaz","Replay",182306
"2021-01-08 15:36","Soulja Boy","Kiss Me Thru The Phone",193386
"2021-01-08 15:39","Soulja Boy","Turn My Swag On",206333
"2021-01-08 15:42","Taio Cruz","Dynamite",202613
"2021-01-08 15:47","Usher","Yeah! (feat. Lil Jon & Ludacris)",250373
"2021-01-08 15:51","Owl City","Fireflies",225600
"2021-01-08 16:08","Metro Station","Shake It",46731
"2021-01-08 16:08","Sean Paul","Give It Up to Me - Radio Edit",510
"2021-01-08 16:23","Playboi Carti","Stop Breathing",66496
"2021-01-08 16:27","Kanye West","Real Friends",251573
"2021-01-08 16:30","Kanye West","Feedback",147240
"2021-01-08 16:33","JAY-Z","Otis",178213
"2021-01-08 16:36","Jay Sean","Down",212106
"2021-01-08 16:37","Iyaz","Replay",12301
"2021-01-08 16:37","Jay Sean","Down",405
"2021-01-08 16:37","JAY-Z","Otis",1002
"2021-01-08 16:37","Kanye West","Feedback",853
"2021-01-08 16:41","Kanye West","Real Friends",251573
"2021-01-08 16:43","Kanye West","Feedback",147240
"2021-01-08 16:46","JAY-Z","Otis",178213
"2021-01-08 16:47","Jay Sean","Down",63777
