"rodzaj","gracz","color","nazwa","n","typ"
"bullet","Mlodziak77","black","g",98,"Pawns_moves"
"bullet","Mlodziak77","black","h",76,"Pawns_moves"
"bullet","Mlodziak77","both","a",151,"Pawns_moves"
"bullet","Mlodziak77","both","b",188,"Pawns_moves"
"bullet","Mlodziak77","both","c",239,"Pawns_moves"
"bullet","Mlodziak77","both","d",333,"Pawns_moves"
"bullet","Mlodziak77","both","e",367,"Pawns_moves"
"bullet","Mlodziak77","both","f",194,"Pawns_moves"
"bullet","Mlodziak77","both","g",183,"Pawns_moves"
"bullet","Mlodziak77","both","h",144,"Pawns_moves"
"bullet","Mlodziak77","white","a",71,"Pawns_moves"
"bullet","Mlodziak77","white","b",92,"Pawns_moves"
"bullet","Mlodziak77","white","c",116,"Pawns_moves"
"bullet","Mlodziak77","white","d",167,"Pawns_moves"
"bullet","Mlodziak77","white","e",200,"Pawns_moves"
"bullet","Mlodziak77","white","f",97,"Pawns_moves"
"bullet","Mlodziak77","white","g",85,"Pawns_moves"
"bullet","Mlodziak77","white","h",68,"Pawns_moves"
"rapid","grooney","black","a",98,"Pawns_moves"
"rapid","grooney","black","b",93,"Pawns_moves"
"rapid","grooney","black","c",187,"Pawns_moves"
"rapid","grooney","black","d",172,"Pawns_moves"
"rapid","grooney","black","e",187,"Pawns_moves"
"rapid","grooney","black","f",72,"Pawns_moves"
"rapid","grooney","black","g",91,"Pawns_moves"
"rapid","grooney","black","h",108,"Pawns_moves"
"rapid","grooney","both","a",215,"Pawns_moves"
"rapid","grooney","both","b",174,"Pawns_moves"
"rapid","grooney","both","c",321,"Pawns_moves"
"rapid","grooney","both","d",358,"Pawns_moves"
"rapid","grooney","both","e",424,"Pawns_moves"
"rapid","grooney","both","f",177,"Pawns_moves"
"rapid","grooney","both","g",179,"Pawns_moves"
"rapid","grooney","both","h",236,"Pawns_moves"
"rapid","grooney","white","a",117,"Pawns_moves"
"rapid","grooney","white","b",81,"Pawns_moves"
"rapid","grooney","white","c",134,"Pawns_moves"
"rapid","grooney","white","d",186,"Pawns_moves"
"rapid","grooney","white","e",237,"Pawns_moves"
"rapid","grooney","white","f",105,"Pawns_moves"
"rapid","grooney","white","g",88,"Pawns_moves"
"rapid","grooney","white","h",128,"Pawns_moves"
"rapid","Mlodziak77","black","a",68,"Pawns_moves"
"rapid","Mlodziak77","black","b",74,"Pawns_moves"
"rapid","Mlodziak77","black","c",134,"Pawns_moves"
"rapid","Mlodziak77","black","d",185,"Pawns_moves"
"rapid","Mlodziak77","black","e",184,"Pawns_moves"
"rapid","Mlodziak77","black","f",74,"Pawns_moves"
"rapid","Mlodziak77","black","g",93,"Pawns_moves"
"rapid","Mlodziak77","black","h",77,"Pawns_moves"
"rapid","Mlodziak77","both","a",138,"Pawns_moves"
"rapid","Mlodziak77","both","b",155,"Pawns_moves"
"rapid","Mlodziak77","both","c",264,"Pawns_moves"
"rapid","Mlodziak77","both","d",374,"Pawns_moves"
