"color","gracz","rodzaj","n","mean","day","hour"
"black","Mlodziak77","blitz",6,0.166666666666667,4,0
"both","Mlodziak77","blitz",13,0.461538461538462,4,0
"white","Mlodziak77","blitz",7,0.714285714285714,4,0
"black","tymekkk","blitz",2,0.5,4,6
"both","tymekkk","blitz",3,0.666666666666667,4,6
"white","tymekkk","blitz",1,1,4,6
"black","grooney","bullet",4,0.5,4,7
"both","grooney","bullet",11,0.545454545454545,4,7
"both","Mlodziak77","blitz",1,1,4,7
"both","tymekkk","blitz",1,0,4,7
"white","grooney","bullet",7,0.571428571428571,4,7
"white","Mlodziak77","blitz",1,1,4,7
"white","tymekkk","blitz",1,0,4,7
"black","grooney","bullet",14,0.357142857142857,4,8
"black","Mlodziak77","blitz",3,0.333333333333333,4,8
"black","tymekkk","blitz",5,0.7,4,8
"both","grooney","blitz",1,0,4,8
"both","grooney","bullet",27,0.5,4,8
"both","Mlodziak77","blitz",10,0.4,4,8
"both","tymekkk","blitz",9,0.611111111111111,4,8
"white","grooney","blitz",1,0,4,8
"white","grooney","bullet",13,0.653846153846154,4,8
"white","Mlodziak77","blitz",7,0.428571428571429,4,8
"white","tymekkk","blitz",4,0.5,4,8
"black","grooney","blitz",7,0.142857142857143,4,9
"black","grooney","bullet",21,0.452380952380952,4,9
"black","Mlodziak77","blitz",11,0.636363636363636,4,9
"black","Mlodziak77","bullet",2,1,4,9
"black","tymekkk","blitz",5,0.2,4,9
"both","grooney","blitz",13,0.153846153846154,4,9
"both","grooney","bullet",42,0.535714285714286,4,9
"both","Mlodziak77","blitz",17,0.647058823529412,4,9
"both","Mlodziak77","bullet",3,1,4,9
"both","tymekkk","blitz",8,0.375,4,9
"white","grooney","blitz",6,0.166666666666667,4,9
"white","grooney","bullet",21,0.619047619047619,4,9
"white","Mlodziak77","blitz",6,0.666666666666667,4,9
"white","Mlodziak77","bullet",1,1,4,9
"white","tymekkk","blitz",3,0.666666666666667,4,9
"black","grooney","blitz",4,0.5,4,10
"black","grooney","bullet",28,0.482142857142857,4,10
"black","grooney","rapid",3,0.333333333333333,4,10
"black","Mlodziak77","blitz",7,0.571428571428571,4,10
"black","Mlodziak77","rapid",1,0,4,10
"black","tymekkk","blitz",3,0.333333333333333,4,10
"both","grooney","blitz",9,0.666666666666667,4,10
"both","grooney","bullet",52,0.538461538461538,4,10
"both","grooney","rapid",3,0.333333333333333,4,10
"both","Mlodziak77","blitz",13,0.538461538461538,4,10
"both","Mlodziak77","bullet",1,1,4,10
"both","Mlodziak77","rapid",2,0.5,4,10
"both","tymekkk","blitz",4,0.5,4,10
"white","grooney","blitz",5,0.8,4,10
"white","grooney","bullet",24,0.604166666666667,4,10
"white","Mlodziak77","blitz",6,0.5,4,10
"white","Mlodziak77","bullet",1,1,4,10
"white","Mlodziak77","rapid",1,1,4,10
"white","tymekkk","blitz",1,1,4,10
"black","grooney","blitz",4,0.75,4,11
"black","grooney","bullet",34,0.529411764705882,4,11
"black","grooney","rapid",5,0.9,4,11
"black","Mlodziak77","blitz",6,0.833333333333333,4,11
"black","Mlodziak77","bullet",1,0,4,11
"black","Mlodziak77","rapid",6,0.666666666666667,4,11
"black","tymekkk","blitz",4,0.75,4,11
"both","grooney","blitz",9,0.388888888888889,4,11
"both","grooney","bullet",69,0.5,4,11
"both","grooney","rapid",8,0.9375,4,11
"both","Mlodziak77","blitz",10,0.65,4,11
"both","Mlodziak77","bullet",1,0,4,11
"both","Mlodziak77","rapid",9,0.555555555555556,4,11
"both","tymekkk","blitz",7,0.571428571428571,4,11
"white","grooney","blitz",5,0.1,4,11
"white","grooney","bullet",35,0.471428571428571,4,11
"white","grooney","rapid",3,1,4,11
"white","Mlodziak77","blitz",4,0.375,4,11
"white","Mlodziak77","rapid",3,0.333333333333333,4,11
"white","tymekkk","blitz",3,0.333333333333333,4,11
"black","grooney","blitz",5,0.4,4,12
"black","grooney","bullet",37,0.432432432432432,4,12
"black","grooney","rapid",2,1,4,12
"black","Mlodziak77","blitz",3,0.666666666666667,4,12
"black","Mlodziak77","rapid",1,1,4,12
"black","tymekkk","blitz",1,0,4,12
"both","grooney","blitz",15,0.566666666666667,4,12
"both","grooney","bullet",74,0.466216216216216,4,12
"both","grooney","rapid",2,1,4,12
"both","Mlodziak77","blitz",4,0.75,4,12
"both","Mlodziak77","rapid",1,1,4,12
"both","tymekkk","blitz",4,0.25,4,12
"white","grooney","blitz",10,0.65,4,12
"white","grooney","bullet",37,0.5,4,12
"white","Mlodziak77","blitz",1,1,4,12
"white","tymekkk","blitz",3,0.333333333333333,4,12
"black","grooney","blitz",8,0.25,4,13
"black","grooney","bullet",28,0.428571428571429,4,13
"black","Mlodziak77","blitz",3,0,4,13
"black","Mlodziak77","bullet",1,0,4,13
"black","Mlodziak77","rapid",1,0,4,13
"black","tymekkk","blitz",7,0.785714285714286,4,13
"both","grooney","blitz",17,0.294117647058824,4,13
"both","grooney","bullet",61,0.434426229508197,4,13
"both","grooney","rapid",1,1,4,13
"both","Mlodziak77","blitz",6,0.166666666666667,4,13
"both","Mlodziak77","bullet",2,0.5,4,13
"both","Mlodziak77","rapid",2,0,4,13
"both","tymekkk","blitz",11,0.772727272727273,4,13
"white","grooney","blitz",9,0.333333333333333,4,13
"white","grooney","bullet",33,0.439393939393939,4,13
"white","grooney","rapid",1,1,4,13
"white","Mlodziak77","blitz",3,0.333333333333333,4,13
"white","Mlodziak77","bullet",1,1,4,13
"white","Mlodziak77","rapid",1,0,4,13
"white","tymekkk","blitz",4,0.75,4,13
"black","grooney","blitz",6,0.666666666666667,4,14
"black","grooney","bullet",32,0.4375,4,14
"black","Mlodziak77","blitz",8,0.5,4,14
"black","tymekkk","blitz",6,0.333333333333333,4,14
"both","grooney","blitz",11,0.681818181818182,4,14
"both","grooney","bullet",62,0.508064516129032,4,14
"both","Mlodziak77","blitz",17,0.588235294117647,4,14
"both","tymekkk","blitz",11,0.454545454545455,4,14
"white","grooney","blitz",5,0.7,4,14
"white","grooney","bullet",30,0.583333333333333,4,14
"white","Mlodziak77","blitz",9,0.666666666666667,4,14
"white","tymekkk","blitz",5,0.6,4,14
"black","grooney","blitz",8,0.75,4,15
"black","grooney","bullet",40,0.5375,4,15
"black","Mlodziak77","blitz",6,0.583333333333333,4,15
"black","tymekkk","blitz",3,0.666666666666667,4,15
"both","grooney","blitz",19,0.473684210526316,4,15
"both","grooney","bullet",83,0.475903614457831,4,15
"both","Mlodziak77","blitz",13,0.615384615384615,4,15
"both","Mlodziak77","bullet",1,0,4,15
"both","tymekkk","blitz",7,0.714285714285714,4,15
"white","grooney","blitz",11,0.272727272727273,4,15
"white","grooney","bullet",43,0.418604651162791,4,15
"white","Mlodziak77","blitz",7,0.642857142857143,4,15
"white","Mlodziak77","bullet",1,0,4,15
"white","tymekkk","blitz",4,0.75,4,15
"black","grooney","blitz",13,0.538461538461538,4,16
"black","grooney","bullet",43,0.488372093023256,4,16
"black","Mlodziak77","blitz",9,0.444444444444444,4,16
"black","Mlodziak77","rapid",1,1,4,16
"black","tymekkk","blitz",2,1,4,16
"both","grooney","blitz",24,0.625,4,16
"both","grooney","bullet",87,0.545977011494253,4,16
"both","Mlodziak77","blitz",14,0.464285714285714,4,16
"both","Mlodziak77","rapid",1,1,4,16
"both","tymekkk","blitz",6,0.666666666666667,4,16
"white","grooney","blitz",11,0.727272727272727,4,16
"white","grooney","bullet",44,0.602272727272727,4,16
"white","Mlodziak77","blitz",5,0.5,4,16
"white","tymekkk","blitz",4,0.5,4,16
"black","grooney","blitz",10,0.6,4,17
"black","grooney","bullet",19,0.552631578947368,4,17
"black","Mlodziak77","blitz",2,0.5,4,17
"black","Mlodziak77","bullet",1,1,4,17
"black","tymekkk","blitz",5,0.8,4,17
"both","grooney","blitz",24,0.625,4,17
"both","grooney","bullet",40,0.5,4,17
"both","Mlodziak77","blitz",7,0.571428571428571,4,17
"both","Mlodziak77","bullet",1,1,4,17
"both","tymekkk","blitz",9,0.777777777777778,4,17
"white","grooney","blitz",14,0.642857142857143,4,17
"white","grooney","bullet",21,0.452380952380952,4,17
"white","Mlodziak77","blitz",5,0.6,4,17
"white","tymekkk","blitz",4,0.75,4,17
"black","grooney","blitz",10,0.8,4,18
"black","grooney","bullet",36,0.375,4,18
"black","grooney","rapid",2,0,4,18
"black","Mlodziak77","blitz",2,1,4,18
"black","tymekkk","blitz",9,0.333333333333333,4,18
"both","grooney","blitz",19,0.868421052631579,4,18
"both","grooney","bullet",75,0.44,4,18
"both","grooney","rapid",4,0.25,4,18
