Entity,Code,Year,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,diesel_gas_number,petrol_number
Austria,AUT,2001,0,0,39,192734,100754
Austria,AUT,2002,1,0,17,194555,84920
Austria,AUT,2003,0,0,8,214222,85889
Austria,AUT,2004,0,0,133.0021363,214771.4497,96387.54819
Austria,AUT,2005,0,0,460,187813,119632
Austria,AUT,2006,0,0,585,191773,116237
Austria,AUT,2007,0,0,766,176881,120534
Austria,AUT,2008,2,0,665,161036,131993
Austria,AUT,2009,39,0,1057,148430,169702
Austria,AUT,2010,112.0003415,0,1248.003805,168316.5131,158336.4827
Austria,AUT,2011,633,0,1304,196065,158142
Austria,AUT,2012,619,0,1982,190669,142740
Austria,AUT,2013,839,0,2410,180971,134815
Austria,AUT,2014,1404,314,1918,172397,127285
Austria,AUT,2015,1756,1031,2040,180200,123528
Austria,AUT,2016,3379,1689,3269,188921,132346
Austria,AUT,2017,5433,1676,5674,175467,165070
Austria,AUT,2018,6764,2250,5961,140273,185820
Austria,AUT,2019,8889,2144,12493,130432,175405
Belgium,BEL,2001,5,0,48,302493,186084
Belgium,BEL,2002,4,0,13,293223,174240
Belgium,BEL,2003,0,0,34,313076,145613
Belgium,BEL,2004,0,0,135,339176,145365
Belgium,BEL,2005,0,0,478,348515,131015
Belgium,BEL,2006,0,0,895,388331,136887
Belgium,BEL,2007,0,0,1309,404100,119166
Belgium,BEL,2008,0,0,1878,422432,111383
Belgium,BEL,2009,0,0,1837.007736,357224.5043,115865.4879
Belgium,BEL,2010,36.00065908,0,4074.074586,413074.5624,129038.3624
Belgium,BEL,2011,277.0009682,0,6663.023289,430936.5062,134332.4695
Belgium,BEL,2012,826,0,4958,335233,145719
Belgium,BEL,2013,751.0046352,0,5678.035045,315276.9459,164359.0144
Belgium,BEL,2014,1361.002818,617.0012776,7495.01552,299231.6196,174234.3608
Belgium,BEL,2015,1625,1429,7675,300324,190013
Belgium,BEL,2016,2000,7293,9196,279425,241605
Belgium,BEL,2017,2541,11876,12333,253322,266486
Belgium,BEL,2018,3648,9064,14519,195268,327133
Belgium,BEL,2019,8837,8465,19375,173094,340232
Denmark,DNK,2001,7,0,0,17183,78926
Denmark,DNK,2002,1.000008911,0,0,22919.20424,89295.79575
Denmark,DNK,2003,2,0,0,22672,74535
Denmark,DNK,2004,3,0,10,30183,91650
Denmark,DNK,2005,2.000013497,0,5.000033743,37016.24981,111154.7501
Denmark,DNK,2006,2,0,13,43700,113194
Denmark,DNK,2007,2,0,14,65013,97747
Denmark,DNK,2008,5,0,48,70429,80167
Denmark,DNK,2009,78.00139332,0,57.00101819,49975.89271,61854.10488
Denmark,DNK,2010,42.00109591,0,146.0038096,70912.85029,82200.1448
Denmark,DNK,2011,457.0053763,0,240.0028234,81415.95779,87895.03401
Denmark,DNK,2012,539,0,424,68051,101769
Denmark,DNK,2013,538,0,1087,57598,122047
Denmark,DNK,2014,1646,4,1214,59363,126841
Denmark,DNK,2015,4478,263,2252,64212,136184
Denmark,DNK,2016,1173,716,5762,80114,135377
Denmark,DNK,2017,712,612,7188,78024,135614
Denmark,DNK,2018,1551,3073,9232,72606,132652
Denmark,DNK,2019,5526,3882,13284,60788,143199
Europe,,2019,341267,193316,,,
Europe,,2020,720913,603314,,,
Finland,FIN,2001,0,0,0,18231,91191
Finland,FIN,2002,0,0,0,18460,98551
Finland,FIN,2003,0,0,0,22078,125027
Finland,FIN,2004,0,0,63,21798,120442
Finland,FIN,2005,0,0,62,24731,122947
Finland,FIN,2006,0,0,109,29231,115893
Finland,FIN,2007,0,0,149,35247,89602
Finland,FIN,2008,5,0,847,68648,69570
Finland,FIN,2009,1,0,780,41815,47665
Finland,FIN,2010,14.00012569,0,1123.010082,46469.41719,63779.5726
Finland,FIN,2011,30,0,1136,53584,71419
Finland,FIN,2012,105,0,1439,44101,65647
Finland,FIN,2013,219,0,2260,38920,62094
Finland,FIN,2014,201,245,2331,41796,61708
Finland,FIN,2015,244,416,2851,38986,66352
Finland,FIN,2016,213,1875,4018,39487,73446
Finland,FIN,2017,486,2507,8455,36086,71116
Finland,FIN,2018,775,4807,11000,28988,74987
Finland,FIN,2019,1897,5869,14206,21958,70316
France,FRA,2001,407,0,84,1267750,986491
France,FRA,2002,233,0,51,1351362,793425
France,FRA,2003,113,0,36,1353419,655678
France,FRA,2004,460,0,669,1392905,619675
France,FRA,2005,6,0,2855,1423906,641022
France,FRA,2006,13.0000065,0,6413.003206,1428152.714,565984.2829
France,FRA,2007,6,0,7161,1528994,528838
France,FRA,2008,4.000003902,0,8451.008244,1587574.549,454253.4431
France,FRA,2009,10.00000892,0,9833.008768,1575944.405,657106.5859
France,FRA,2010,184,0,9634,1554298,639025
France,FRA,2011,2654,0,12805,1568874,581470
France,FRA,2012,5913,0,24920,1358560,471131
France,FRA,2013,9159,0,46310,1167972,532810
France,FRA,2014,10980,1340,41104,1119957,591847
France,FRA,2015,17771,4604,41718,1083830,737645
France,FRA,2016,21553,7689,46918,1031410,876159
France,FRA,2017,24967.13011,11868.06185,64005.33354,998972.2058,1011050.269
France,FRA,2018,31095.01431,13380.00616,84154.03872,846023.3892,1198925.552
France,FRA,2019,42829,18442,95273,768825,1283191
Germany,DEU,2001,56.00005028,0,606.0005441,1155300.037,2185246.962
Germany,DEU,2002,19,0,135,1235960,2016224
Germany,DEU,2003,17,0,260,1290602,1945639
Germany,DEU,2004,10,0,1704,1437677,1827287
Germany,DEU,2005,18.00002155,0,3578.004284,1424846.706,1912265.29
Germany,DEU,2006,3.000002596,0,5227.004524,1535170.329,1926088.667
Germany,DEU,2007,6.000001907,0,7515.002388,1499897.477,1639159.521
Germany,DEU,2008,5,0,6152,1359930,1722202
Germany,DEU,2009,152,0,8095,1153083,2628234
Germany,DEU,2010,380.000132,0,10022.00348,1185746.412,1681641.584
Germany,DEU,2011,2204.004167,0,11708.02214,1498958.834,1660602.14
Germany,DEU,2012,3572,0,20281,1488562,1569937
Germany,DEU,2013,7363.187057,0,24440.6209,1403902.665,1516550.527
Germany,DEU,2014,9583.003156,3483.001147,22413.00738,1453187.479,1547962.51
Germany,DEU,2015,12428,11142,17846,1543114,1621389
Germany,DEU,2016,11457.08204,13762.09855,32756.23457,1540989.035,1752504.55
Germany,DEU,2017,25138.67209,29488.7884,47709.27553,1336845.741,2001939.523
Germany,DEU,2018,36150.86247,29916.54128,81139.18024,1112597.32,2175797.096
Germany,DEU,2019,63460.99377,44639.8093,155461.7836,1222769,2120699.413
Greece,GRC,2001,0,0,0,2479.725444,277814.2746
Greece,GRC,2002,0,0,4.00114749,2034.583499,266450.4154
Greece,GRC,2003,0,0,4.001601929,4078.632766,253210.3656
Greece,GRC,2004,0,0,112.0688464,8195.034396,281442.8968
Greece,GRC,2005,0,0,227.1937471,4035.441358,265442.3649
Greece,GRC,2006,0,0,533.2849298,5796.096807,261314.6183
Greece,GRC,2007,0,0,1105.375396,8086.746336,270540.8783
Greece,GRC,2008,0,0,2336.472165,9547.929488,255330.5983
Greece,GRC,2009,1.000176939,0,1676.29655,7160.266706,211616.4366
Greece,GRC,2010,0,0,1090.721098,5646.085686,134759.1932
Greece,GRC,2011,0,0,999.2864487,9689.777606,86989.93595
Greece,GRC,2012,2,0,459,23327,34693
Greece,GRC,2013,3.000051113,0,389.0066277,33957.57855,24344.41477
Greece,GRC,2014,54,9,425,45367,25361
Greece,GRC,2015,32,43,864,47797,27069
Greece,GRC,2016,20,78,1472,42980,34323
Greece,GRC,2017,37,159,2342,39014,46527
Greece,GRC,2018,73,228,3588,36884,62658
Greece,GRC,2019,188.0115319,458.0280937,5659.347123,30744,77075.61325
Iceland,ISL,2016,231.0249662,604.0652797,696.0752229,8230.889489,8744.945042
Iceland,ISL,2017,417.0389683,1453.135782,1041.097281,8929.834408,9562.893561
Ireland,IRL,2001,0,0,19.07941399,21060.66051,143493.2601
Ireland,IRL,2002,0,0,9.039324324,25406.52757,130663.4331
Ireland,IRL,2003,0,0,9.021058226,24525.2503,120688.7286
Ireland,IRL,2004,0,0,241.079207,28792.89329,125102.0275
Ireland,IRL,2005,0,0,316.0852476,37385.63697,134040.2778
Ireland,IRL,2006,0,0,609.8553896,44206.95556,133666.1891
Ireland,IRL,2007,0,0,1044.206321,51429.42256,133851.3711
Ireland,IRL,2008,0,0,1195.167767,53899.44618,96521.38605
Ireland,IRL,2009,2.100884891,0,262.6106114,31881.97866,25308.30984
Ireland,IRL,2010,17.26469405,0,682.4632002,59051.34708,28628.92502
Ireland,IRL,2011,46.47041108,0,564.7165172,65020.18691,24264.62617
Ireland,IRL,2012,137,0,645,59367,19349
Ireland,IRL,2013,47.05948326,0,590.7467047,53787.9881,19941.20571
Ireland,IRL,2014,227.3823377,29.0488449,1006.692728,70725.92385,24354.95224
Ireland,IRL,2015,466,97,1518,88786,34078
Ireland,IRL,2016,392.2461572,300.1883856,2569.612581,102487.3167,40850.63614
Ireland,IRL,2017,622.2226759,309.1106219,4441.589519,85591.63082,40367.44636
Ireland,IRL,2018,1233.432242,679.2380311,7037.466199,68235.91249,48370.95104
Ireland,IRL,2019,3444.971077,1287.736792,10622.07753,54351,47394.2146
Italy,ITA,2001,147,0,23,888028,1557121
Italy,ITA,2002,126,0,15,1012770,1323521
Italy,ITA,2003,137,0,11,1106001,1170804
Italy,ITA,2004,42,0,494,1338600,950970
Italy,ITA,2005,527.0002327,0,1109.00049,1332336.588,930688.411
Italy,ITA,2006,26,0,2187,1378237,973691
Italy,ITA,2007,21,0,3440,1404453,1105058
Italy,ITA,2008,77,0,3340,1102799,1068107
Italy,ITA,2009,44,0,7561,907202,1250274
Italy,ITA,2010,104,0,4819,906116,1056337
Italy,ITA,2011,291,0,5048,963546,775104
Italy,ITA,2012,601,0,6481,742026,646971
Italy,ITA,2013,1145.00178,0,13966.02171,695107.0804,576497.8961
Italy,ITA,2014,1237.000902,271.0001977,20981.0153,757421.5525,591041.4311
Italy,ITA,2015,1461,894,25223,880269,675769
Italy,ITA,2016,1373,1371,36346,1056068,749022
Italy,ITA,2017,1961.037701,2845.054696,59054.13531,1118009.494,794731.2786
Italy,ITA,2018,4990.002603,4632.002417,73622.03841,985060.5139,848400.4426
Italy,ITA,2019,10681.0222,6489.01349,94981.19745,789372,1022634.767
Luxembourg,LUX,2001,0,0,4,25229,17931
Luxembourg,LUX,2002,0,0,0,27000,16677
Luxembourg,LUX,2003,0,0,0,28814,14954
Luxembourg,LUX,2004,0,0,14,34973,13284
Luxembourg,LUX,2005,0,0,53,36570,11894
Luxembourg,LUX,2006,0,0,89,39306,11442
Luxembourg,LUX,2007,0,0,124,39771,11437
Luxembourg,LUX,2008,1,0,150,40317,11891
Luxembourg,LUX,2009,0,0,128,34483,12654
Luxembourg,LUX,2010,1,0,245,37411,12069
Luxembourg,LUX,2011,31,0,283,38204,11363
Luxembourg,LUX,2012,99,0,603,38363,11333
Luxembourg,LUX,2013,188,0,329,34239,11868
Luxembourg,LUX,2014,363,60,409,35846,13115
Luxembourg,LUX,2015,73,113,379,32910,12998
Luxembourg,LUX,2016,145,201,573,32769,16873
Luxembourg,LUX,2017,386,676,797,28477,22439
Luxembourg,LUX,2018,432.0081368,646.0121676,974.0183455,25021.47128,26019.49007
Luxembourg,LUX,2019,986,880,1961,24102,27398
Netherlands,NLD,2001,13.00071097,0,383.0209464,121276.6323,408614.346
