Entity,Code,Year,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,diesel_gas_number,petrol_number
Netherlands,NLD,2002,14.00145293,0,63.0065382,110149.4302,400517.5618
Netherlands,NLD,2003,0,0,19.01088611,110748.4173,378208.5718
Netherlands,NLD,2004,0,0,1178.449063,119304.7014,363399.8496
Netherlands,NLD,2005,2.002246736,0,2936.294839,124521.7268,337735.9761
Netherlands,NLD,2006,1.002545668,0,3155.011216,130228.6771,350625.3091
Netherlands,NLD,2007,2.00884539,0,3709.333013,144065.3516,357762.3065
Netherlands,NLD,2008,0,0,11879.83079,126410.5974,361661.5718
Netherlands,NLD,2009,22.15808445,0,16390.93938,78249.26086,292616.6417
Netherlands,NLD,2010,121.0035069,0,16101.46665,98670.85966,368167.6702
Netherlands,NLD,2011,877.0047327,0,14887.08034,157004.8473,383148.0677
Netherlands,NLD,2012,3829,0,22517,143261,332934
Netherlands,NLD,2013,22631,0,23682,103605,267106
Netherlands,NLD,2014,3380.061008,11856.214,14499.2617,105112.8972,252976.5661
Netherlands,NLD,2015,3532,40329,15034,132389,261104
Netherlands,NLD,2016,3781,18947,11012,73283,277675
Netherlands,NLD,2017,7539,1636,17677,73951,317262
Netherlands,NLD,2018,23843,3286,21239,57076,338086
Netherlands,NLD,2019,62056,5315,27707,33771,317265
Norway,NOR,2013,8227,0,9494,74688,49742
Norway,NOR,2014,18112,1665,10015,70176,44228
Norway,NOR,2015,25788,7982,10749,61508,44657
Norway,NOR,2016,23550,21361,17479,47619,44591
Norway,NOR,2017,30033,31246,20132,36711,40524
Norway,NOR,2018,46143,26346,15774,26168,33492
Norway,NOR,2019,60345,19297,17585,22828,22325
Portugal,PRT,2001,4,0,14,72745,182452
Portugal,PRT,2002,0,0,6,78389,147697
Portugal,PRT,2003,1,0,102,84951,104738
Portugal,PRT,2004,0,0,471,111851,85262
Portugal,PRT,2005,0,0,759,131720,74009
Portugal,PRT,2006,0,0,731,126772,67213
Portugal,PRT,2007,0,0,1914,139877,60025
Portugal,PRT,2008,0,0,1692,147809,63873
Portugal,PRT,2009,0,0,1151,107033,52725
Portugal,PRT,2010,18,0,1487,148953,72969
Portugal,PRT,2011,205,0,977,107030,45274
Portugal,PRT,2012,82,0,979,67236,27012
Portugal,PRT,2013,210,0,1063,76588,28060
Portugal,PRT,2014,204,85,1927,101971,38639
Portugal,PRT,2015,620,546,2957,121659,52721
Portugal,PRT,2016,711,1134,3203,135166,67116
Portugal,PRT,2017,1640,2420,4692,136241,77114
Portugal,PRT,2018,4073,3734,7256,123091,90173
Portugal,PRT,2019,6883,5798,10039,90292,110787
Spain,ESP,2001,0,0,20,804281,701839
Spain,ESP,2002,3,0,14,819895,585677
Spain,ESP,2003,0,0,101.0000689,902908.6159,562933.384
Spain,ESP,2004,0,0,521.0003224,1067728.661,547827.339
Spain,ESP,2005,0,0,1229,1137231,510891
Spain,ESP,2006,0,0,2187,1144089,488213
Spain,ESP,2007,0,0,2538,1145647,466629
Spain,ESP,2008,0,0,3908,805282,351986
Spain,ESP,2009,1,0,4772,668660,279683
Spain,ESP,2010,69,0,7122,693806,280888
Spain,ESP,2011,377,0,9626,568300,229755
Spain,ESP,2012,484,0,9987,482251,206867
Spain,ESP,2013,839,0,10203,486937,224724
Spain,ESP,2014,1076,294,12043,565537,276358
Spain,ESP,2015,1342,876,18390,650307,363317
Spain,ESP,2016,1887,1690,30867,651637,460926
Spain,ESP,2017,3624,3575,55037,596522,576173
Spain,ESP,2018,5984,5380,74640,472879,762555
Spain,ESP,2019,10406,7696,102528,449539,793164
Sweden,SWE,2001,2,0,229,13641,232709
Sweden,SWE,2002,1,0,121,17797,236670
Sweden,SWE,2003,1,0,89,20209,240870
Sweden,SWE,2004,0,0,736,31861,231557
Sweden,SWE,2005,1,0,1947,45688,226296
Sweden,SWE,2006,0,0,2894,81544,198037
Sweden,SWE,2007,0,0,3391,143235,159699
Sweden,SWE,2008,0,0,4153,146400,103370
Sweden,SWE,2009,21,0,3058,125432,83718
Sweden,SWE,2010,9,0,3628,182380,102776
Sweden,SWE,2011,183,0,2907,203122,98771
Sweden,SWE,2012,408,0,3441,193502,82544
Sweden,SWE,2013,1509,0,5101,168469,94473
Sweden,SWE,2014,1394.018346,3284.043219,6977.09182,181390.3871,110900.4595
Sweden,SWE,2015,2979,5694,8620,200709,127104
Sweden,SWE,2016,2890.023287,10440.08412,13431.10822,196908.5866,148648.1978
Sweden,SWE,2017,4231.301126,15816.12558,18665.32834,190140.5316,150539.7134
Sweden,SWE,2018,7096.364207,21620.15626,21710.17357,134973.9474,168323.3585
Sweden,SWE,2019,15601.36894,24745.27394,35250.90941,120472.5957,159991.852
Switzerland,CHE,2013,1750.017054,0,6727.065556,114584.1166,184784.8008
Switzerland,CHE,2014,1953,733,6120,112113,180973
Switzerland,CHE,2015,3334,2974,5826,126310,185318
Switzerland,CHE,2016,3313,2853,7619,124665,178865
Switzerland,CHE,2017,4772,3556,7180,113224.4213,185303.5787
Switzerland,CHE,2018,5136,4004,9338,90214,190986
Switzerland,CHE,2019,13192,4203,20288,87597,190639
Turkey,TUR,2014,49,20,219,366748,220295
Turkey,TUR,2015,121,107,868,448251,276249
Turkey,TUR,2016,23,162,898,465286,290569
Turkey,TUR,2017,76,80,4428,440957,277218
Turkey,TUR,2018,155,65,4537,287279,194285
Turkey,TUR,2019,222,258,13200,196734,176842
United Kingdom,GBR,2001,29,0,719,437628,2019996
United Kingdom,GBR,2002,45.00001756,0,339.0001323,596885.2329,1965464.767
United Kingdom,GBR,2003,2,0,1079,704074,1873592
United Kingdom,GBR,2004,0,0,2462,833668,1730715
United Kingdom,GBR,2005,0,0,5766,895022,1538463
United Kingdom,GBR,2006,298,0,8957,897776,1437376
United Kingdom,GBR,2007,397,0,15972,963628,1423626
United Kingdom,GBR,2008,179,0,15385,926604,1188689
United Kingdom,GBR,2009,55,0,14645,831908,1142349
United Kingdom,GBR,2010,167,0,22148,935192,1067527
United Kingdom,GBR,2011,1102.000569,0,23369.01206,983043.5075,929590.4799
United Kingdom,GBR,2012,1784,0,25370,1039199,973633
United Kingdom,GBR,2013,3586,0,29126,1127840,1104185
United Kingdom,GBR,2014,8067,6550,37188,1240576,1184054
United Kingdom,GBR,2015,10054,18395,44181,1277118,1283755
United Kingdom,GBR,2016,10276,28694,49872,1286239,1317705
United Kingdom,GBR,2017,13576,35030,68304,1065186,1358521
United Kingdom,GBR,2018,14944,40410,93409,745689,1472695
United Kingdom,GBR,2019,37850,34758,155276,615619,1467637
