"spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"spotify:track:3WbTjVp5PWZXn8tnuPj54d","polish hip hop, polish trap","0.81","0.654","2","-9.828","1","0.112","0.0416","0.000406","0.122","0.406","120.02","audio_features","3WbTjVp5PWZXn8tnuPj54d","spotify:track:3WbTjVp5PWZXn8tnuPj54d","https://api.spotify.com/v1/tracks/3WbTjVp5PWZXn8tnuPj54d","https://api.spotify.com/v1/audio-analysis/3WbTjVp5PWZXn8tnuPj54d","248133","4"
"spotify:track:5SPO91s5J85CAxHREvwj3b","polish alternative, polish pop","0.771","0.703","8","-6.299","0","0.0423","0.0628","0","0.0847","0.954","110.001","audio_features","5SPO91s5J85CAxHREvwj3b","spotify:track:5SPO91s5J85CAxHREvwj3b","https://api.spotify.com/v1/tracks/5SPO91s5J85CAxHREvwj3b","https://api.spotify.com/v1/audio-analysis/5SPO91s5J85CAxHREvwj3b","236013","4"
"spotify:track:0vIdj6ZxZrHhHjkbsLHap8","polish hip hop, polish trap","0.743","0.843","9","-5.131","1","0.112","0.0991","0","0.226","0.459","98.006","audio_features","0vIdj6ZxZrHhHjkbsLHap8","spotify:track:0vIdj6ZxZrHhHjkbsLHap8","https://api.spotify.com/v1/tracks/0vIdj6ZxZrHhHjkbsLHap8","https://api.spotify.com/v1/audio-analysis/0vIdj6ZxZrHhHjkbsLHap8","183253","4"
"spotify:track:2Is6K2TfaMhO3b5DWvk8Io","polish alternative, polish pop","0.467","0.648","4","-5.728","0","0.0418","0.638","0.000226","0.126","0.186","158.106","audio_features","2Is6K2TfaMhO3b5DWvk8Io","spotify:track:2Is6K2TfaMhO3b5DWvk8Io","https://api.spotify.com/v1/tracks/2Is6K2TfaMhO3b5DWvk8Io","https://api.spotify.com/v1/audio-analysis/2Is6K2TfaMhO3b5DWvk8Io","242409","3"
"spotify:track:3ehrxAhYms24KLPG8FZe0W","baroque pop, metropopolis, modern rock, pop rock, rock","0.378","0.638","10","-5.576","1","0.075","0.02","7.66e-05","0.0849","0.735","184.086","audio_features","3ehrxAhYms24KLPG8FZe0W","spotify:track:3ehrxAhYms24KLPG8FZe0W","https://api.spotify.com/v1/tracks/3ehrxAhYms24KLPG8FZe0W","https://api.spotify.com/v1/audio-analysis/3ehrxAhYms24KLPG8FZe0W","250627","4"
"spotify:track:7mAnwV4f6RxGMmA7D02Hw9","polish pop","0.953","0.595","0","-8.01","1","0.131","0.235","0","0.0679","0.675","124.965","audio_features","7mAnwV4f6RxGMmA7D02Hw9","spotify:track:7mAnwV4f6RxGMmA7D02Hw9","https://api.spotify.com/v1/tracks/7mAnwV4f6RxGMmA7D02Hw9","https://api.spotify.com/v1/audio-analysis/7mAnwV4f6RxGMmA7D02Hw9","163200","4"
"spotify:track:0xQdisF8CHkso4LnJcaIMr","uk pop, vocal jazz","0.534","0.247","0","-15.636","1","0.0322","0.516","0.00859","0.122","0.344","82.168","audio_features","0xQdisF8CHkso4LnJcaIMr","spotify:track:0xQdisF8CHkso4LnJcaIMr","https://api.spotify.com/v1/tracks/0xQdisF8CHkso4LnJcaIMr","https://api.spotify.com/v1/audio-analysis/0xQdisF8CHkso4LnJcaIMr","197160","4"
"spotify:track:0snzHLCxbhrwzSgxem1U9A","instrumental acoustic guitar","0.644","0.106","5","-16.672","1","0.121","0.871","0.929","0.092","0.348","58.928","audio_features","0snzHLCxbhrwzSgxem1U9A","spotify:track:0snzHLCxbhrwzSgxem1U9A","https://api.spotify.com/v1/tracks/0snzHLCxbhrwzSgxem1U9A","https://api.spotify.com/v1/audio-analysis/0snzHLCxbhrwzSgxem1U9A","134217","4"
"spotify:track:1K3LRUEcUz5FMtPYyg0F45","folk-pop, modern rock, pop, pop rock, stomp and holler","0.682","0.471","0","-9.182","1","0.0301","0.765","0","0.0908","0.421","79.907","audio_features","1K3LRUEcUz5FMtPYyg0F45","spotify:track:1K3LRUEcUz5FMtPYyg0F45","https://api.spotify.com/v1/tracks/1K3LRUEcUz5FMtPYyg0F45","https://api.spotify.com/v1/audio-analysis/1K3LRUEcUz5FMtPYyg0F45","163133","4"
"spotify:track:1NhPKVLsHhFUHIOZ32QnS2","dance pop, piano rock, pop, pop rock","0.516","0.764","2","-6.223","1","0.0366","0.0717","0","0.115","0.376","148.021","audio_features","1NhPKVLsHhFUHIOZ32QnS2","spotify:track:1NhPKVLsHhFUHIOZ32QnS2","https://api.spotify.com/v1/tracks/1NhPKVLsHhFUHIOZ32QnS2","https://api.spotify.com/v1/audio-analysis/1NhPKVLsHhFUHIOZ32QnS2","224693","4"
"spotify:track:1e8D1BCD2afT56Km7UahpB","permanent wave, pop","0.449","0.736","11","-6.98","0","0.0368","0.00865","0.145","0.147","0.133","123.973","audio_features","1e8D1BCD2afT56Km7UahpB","spotify:track:1e8D1BCD2afT56Km7UahpB","https://api.spotify.com/v1/tracks/1e8D1BCD2afT56Km7UahpB","https://api.spotify.com/v1/audio-analysis/1e8D1BCD2afT56Km7UahpB","230013","4"
"spotify:track:0PoYtse3AXsOpwMN87X2Hq","polish alternative, polish pop, talent show","0.665","0.641","7","-7.67","0","0.0283","0.797","1.99e-05","0.131","0.598","125.037","audio_features","0PoYtse3AXsOpwMN87X2Hq","spotify:track:0PoYtse3AXsOpwMN87X2Hq","https://api.spotify.com/v1/tracks/0PoYtse3AXsOpwMN87X2Hq","https://api.spotify.com/v1/audio-analysis/0PoYtse3AXsOpwMN87X2Hq","218889","4"
"spotify:track:2iZXMKa6Q4GBngBuRWtUtm","dance pop, piano rock, pop, pop rock","0.359","0.713","5","-4.526","1","0.0366","0.33","0","0.303","0.272","61.519","audio_features","2iZXMKa6Q4GBngBuRWtUtm","spotify:track:2iZXMKa6Q4GBngBuRWtUtm","https://api.spotify.com/v1/tracks/2iZXMKa6Q4GBngBuRWtUtm","https://api.spotify.com/v1/audio-analysis/2iZXMKa6Q4GBngBuRWtUtm","194387","4"
"spotify:track:67iAlVNDDdddxqSD2EZhFs","celtic rock, new wave pop, scottish rock","0.851","0.551","4","-5.177","1","0.0396","0.151","0","0.0827","0.807","131.922","audio_features","67iAlVNDDdddxqSD2EZhFs","spotify:track:67iAlVNDDdddxqSD2EZhFs","https://api.spotify.com/v1/tracks/67iAlVNDDdddxqSD2EZhFs","https://api.spotify.com/v1/audio-analysis/67iAlVNDDdddxqSD2EZhFs","219467","4"
"spotify:track:5enxwA8aAbwZbf5qCHORXi","pop","0.631","0.518","0","-8.771","1","0.0303","0.274","0","0.088","0.205","93.023","audio_features","5enxwA8aAbwZbf5qCHORXi","spotify:track:5enxwA8aAbwZbf5qCHORXi","https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi","https://api.spotify.com/v1/audio-analysis/5enxwA8aAbwZbf5qCHORXi","613027","4"
"spotify:track:6Z8R6UsFuGXGtiIxiD8ISb","metropopolis","0.655","0.819","0","-4.852","1","0.0316","0.000176","0.00374","0.104","0.766","117.956","audio_features","6Z8R6UsFuGXGtiIxiD8ISb","spotify:track:6Z8R6UsFuGXGtiIxiD8ISb","https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb","https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb","192790","5"
"spotify:track:6eIVuPSZ7D8Q1uaZc8cQnz","polish hip hop, polish trap","0.777","0.625","6","-8.711","0","0.213","0.296","0","0.296","0.581","88.512","audio_features","6eIVuPSZ7D8Q1uaZc8cQnz","spotify:track:6eIVuPSZ7D8Q1uaZc8cQnz","https://api.spotify.com/v1/tracks/6eIVuPSZ7D8Q1uaZc8cQnz","https://api.spotify.com/v1/audio-analysis/6eIVuPSZ7D8Q1uaZc8cQnz","177307","4"
"spotify:track:0mUyMawtxj1CJ76kn9gIZK","canadian pop, neo mellow","0.599","0.785","3","-4.013","1","0.0309","0.448","0.00336","0.151","0.52","140.046","audio_features","0mUyMawtxj1CJ76kn9gIZK","spotify:track:0mUyMawtxj1CJ76kn9gIZK","https://api.spotify.com/v1/tracks/0mUyMawtxj1CJ76kn9gIZK","https://api.spotify.com/v1/audio-analysis/0mUyMawtxj1CJ76kn9gIZK","233640","4"
