id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
42,2021.10.18,20:12:23,Mlodziak77,juzba23,1704,1763,60+0,A45,"Indian Defense: Paleface Attack, Blackmar-Diemer Gambit Deferred",24,Checkmate,1-0,1,False,False,https://lichess.org/zjIQapns
43,2021.10.18,20:10:28,Mlodziak77,juliusgrettir,1688,1619,60+0,B00,Pirc Defense,10,Resign,1-0,1,False,False,https://lichess.org/ZBrmpCJs
44,2021.10.18,20:06:03,Mlodziak77,YanBlanc,1672,1655,60+0,B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,35,Checkmate,1-0,1,False,False,https://lichess.org/JqzwJjL3
45,2021.10.18,15:15:19,Mlodziak77,Bennag,1662,1658,60+0,B20,Sicilian Defense: Wing Gambit,39,Time forfeit,0-1,0,False,False,https://lichess.org/VrJzEmD0
46,2021.10.15,08:35:39,Mlodziak77,Yeezygus,1636,1657,60+0,B20,Sicilian Defense: Wing Gambit,7,Resign,1-0,1,False,False,https://lichess.org/Z4AdrcrU
47,2021.10.14,13:46:17,Mlodziak77,Rogue96,1617,1615,60+0,C46,Three Knights Opening,45,Time forfeit,1-0,1,False,False,https://lichess.org/KSPZf13I
48,2021.10.12,15:36:30,Mlodziak77,philhobs,1595,1611,60+0,C46,Four Knights Game: Halloween Gambit,9,Resign,1-0,1,False,False,https://lichess.org/VwQcEgyw
49,2021.10.12,15:33:05,Mlodziak77,needalift,1619,1575,60+0,B12,Caro-Kann Defense: MarĂłczy Variation,56,Time forfeit,0-1,0,False,False,https://lichess.org/ij7GNLdB
50,2021.10.12,15:30:42,Mlodziak77,rockza,1632,1616,60+0,B20,Sicilian Defense: Wing Gambit,38,Time forfeit,0-1,0,False,False,https://lichess.org/Opacj93E
51,2021.10.12,09:11:54,Mlodziak77,b_yusupov,1591,1673,60+0,B02,Alekhine Defense: Two Pawn Attack,29,Time forfeit,1-0,1,False,False,https://lichess.org/IE4unCPE
52,2021.10.07,10:21:32,Mlodziak77,Nicolas94,1564,1542,60+0,A00,Hungarian Opening: Symmetrical Variation,17,Checkmate,1-0,1,True,False,https://lichess.org/0OW8TKUK
53,2021.10.07,09:52:41,Mlodziak77,Man12890,1521,1506,60+0,A01,Nimzo-Larsen Attack: Modern Variation,30,Checkmate,1-0,1,False,False,https://lichess.org/Jq95UKxC
54,2021.09.26,20:29:20,Mlodziak77,shivi_0,1522,1512,60+0,C00,French Defense: Orthoschnapp Gambit,19,Checkmate,0-1,0,False,False,https://lichess.org/wSTrlvle
55,2021.09.13,17:48:17,Mlodziak77,cengizcozturk,1527,1497,60+0,B01,Scandinavian Defense: Modern Variation,46,Time forfeit,1-0,1,False,False,https://lichess.org/MauUhZAI
56,2021.09.13,17:45:44,Mlodziak77,PeterHendrix,1528,1509,60+0,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,50,Time forfeit,1/2-1/2,0.5,False,False,https://lichess.org/oiLyzNqa
57,2021.08.18,15:20:44,Mlodziak77,tanertaner13,1540,1522,60+0,A01,Nimzo-Larsen Attack: Symmetrical Variation,31,Time forfeit,0-1,0,False,False,https://lichess.org/choDBA9G
58,2021.08.18,15:19:49,Mlodziak77,babapremnath12,1527,1569,60+0,A01,Nimzo-Larsen Attack: Pachman Gambit,15,Resign,1-0,1,False,False,https://lichess.org/FBAr1mJT
59,2021.08.17,19:18:13,Mlodziak77,superfastchess93,1519,1437,60+0,B22,Sicilian Defense: Alapin Variation,25,Resign,1-0,1,False,False,https://lichess.org/Jd4FL1BK
60,2021.08.15,20:57:38,Mlodziak77,ukunsun,1533,1519,60+0,C34,King's Gambit Accepted: MacLeod Defense,14,Resign,0-1,0,False,False,https://lichess.org/EMregcqZ
61,2021.07.25,17:19:42,Mlodziak77,evusal,1563,1461,60+0,C40,Elephant Gambit,20,Resign,0-1,0,False,False,https://lichess.org/Vv8zlqw6
62,2021.07.25,16:14:53,Mlodziak77,symbiotee,1550,1560,60+0,C46,Three Knights Opening,43,Checkmate,1-0,1,False,False,https://lichess.org/OU3uokFF
63,2021.07.25,15:06:03,Mlodziak77,Simply-Xiong,1542,1499,60+0,C41,Philidor Defense: Exchange Variation,23,Checkmate,1-0,1,True,False,https://lichess.org/QOFNFy0s
64,2021.07.25,14:52:25,Mlodziak77,stranger_fellow,1526,1539,60+0,B22,Sicilian Defense: Alapin Variation,32,Time forfeit,1-0,1,False,False,https://lichess.org/vZ2qvDjn
65,2021.06.06,20:29:14,Mlodziak77,addicted_nah,1527,1484,60+0,C42,Russian Game: Three Knights Game,39,Time forfeit,1-0,1,True,False,https://lichess.org/A3XXYTRV
