id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
420,2021.04.16,13:04:05,Mlodziak77,Klimashkina,1709,1745,180+2,C00,French Defense: Orthoschnapp Gambit,14,Checkmate,1-0,1,False,True,https://lichess.org/mgjHefHB
421,2021.04.16,11:31:34,Mlodziak77,numaze,1710,1684,180+2,C46,Four Knights Game: Halloween Gambit,29,Checkmate,1-0,1,True,True,https://lichess.org/oGBvEABB
422,2021.04.16,10:22:34,Mlodziak77,RezaVP,1709,1677,180+2,C41,Philidor Defense,6,Resign,1-0,1,False,True,https://lichess.org/BWmN8ent
423,2021.04.15,19:45:16,Mlodziak77,Benghis-Khan,1709,1732,180+2,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",28,Resign,0-1,0,False,True,https://lichess.org/9rq6FyUC
424,2021.04.15,14:23:55,Mlodziak77,Suyash_MAnchekar,1719,1772,180+2,B06,Modern Defense,42,Checkmate,0-1,0,False,True,https://lichess.org/1sPCrUNg
425,2021.04.14,21:38:32,Mlodziak77,karlovich1960,1707,1716,180+2,C00,French Defense: Orthoschnapp Gambit,17,Resign,1-0,1,True,True,https://lichess.org/w5HvcMQQ
426,2021.04.14,21:17:57,Mlodziak77,Nipal,1709,1610,180+2,B21,Sicilian Defense: Smith-Morra Gambit,10,Resign,0-1,0,False,True,https://lichess.org/au4uzL4R
427,2021.04.14,21:10:21,Mlodziak77,hollebolle,1707,1800,180+2,B00,Nimzowitsch Defense,5,Checkmate,1-0,1,False,True,https://lichess.org/m6CJCI08
428,2021.04.14,21:06:14,Mlodziak77,Artem196718,1718,1697,180+2,B21,Sicilian Defense: Smith-Morra Gambit,14,Resign,0-1,0,False,True,https://lichess.org/ieNULA0U
429,2021.04.14,20:52:30,Mlodziak77,Klub_Niczego,1723,1744,180+2,C46,Four Knights Game: Halloween Gambit,26,Resign,0-1,0,False,True,https://lichess.org/NoGHoVz7
430,2021.04.14,17:06:46,Mlodziak77,g670812,1729,1766,180+2,A00,Van't Kruijs Opening,18,Resign,0-1,0,False,True,https://lichess.org/alw0eGVb
431,2021.04.14,16:57:09,Mlodziak77,Sewbacca,1722,1767,180+2,B23,Sicilian Defense: Grand Prix Attack,44,Time forfeit,1-0,1,False,True,https://lichess.org/SmFftqlO
432,2021.04.14,16:19:40,Mlodziak77,munluuu,1707,1601,180+2,C42,Russian Game: Three Knights Game,28,Checkmate,1-0,1,False,True,https://lichess.org/eZdfFILx
433,2021.04.14,15:02:46,Mlodziak77,exlwithme,1715,1697,180+2,B23,Sicilian Defense: Closed,23,Resign,0-1,0,False,True,https://lichess.org/ZUSkq3Mh
