id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.12.16,11:47:26,AuntieSoshel,Mlodziak77,1765,1776,60+0,D02,Queen's Pawn Game: Symmetrical Variation,37,Time forfeit,1-0,0,False,False,https://lichess.org/0UkQKQEi
2,2021.12.10,14:08:24,Shakhuev,Mlodziak77,1791,1764,60+0,C42,Russian Game: Stafford Gambit,27,Time forfeit,0-1,1,False,False,https://lichess.org/SWg5x1Dh
3,2021.11.19,12:41:49,Apostrofree,Mlodziak77,1747,1766,60+0,A01,Nimzo-Larsen Attack: Modern Variation,20,Checkmate,1-0,0,False,False,https://lichess.org/e1KmmMBo
4,2021.11.03,09:33:04,iamkruk,Mlodziak77,1785,1765,60+0,C24,Bishop's Opening: Ponziani Gambit,37,Time forfeit,1-0,0,False,False,https://lichess.org/bRTq5Auo
5,2021.11.02,17:27:13,Igorukraine,Mlodziak77,1756,1777,60+0,A00,Englund Gambit Declined: Reversed French,42,Time forfeit,1-0,0,False,False,https://lichess.org/fXHx3MtV
6,2021.11.01,19:14:29,alaasy321,Mlodziak77,1812,1776,60+0,A00,Hungarian Opening: Indian Defense,29,Checkmate,1-0,0,False,False,https://lichess.org/SAImVXk2
7,2021.11.01,16:02:01,banercat,Mlodziak77,1781,1764,60+0,A45,Indian Defense,44,Time forfeit,1-0,0,False,False,https://lichess.org/QwnpqSi6
8,2021.11.01,14:18:38,dr_moeldesouki,Mlodziak77,1787,1750,60+0,A00,Van't Kruijs Opening,43,Time forfeit,0-1,1,False,False,https://lichess.org/nRuDWcU8
9,2021.10.31,17:24:09,burunduk45,Mlodziak77,1754,1750,60+0,A42,Modern Defense: Averbakh System,47,Time forfeit,0-1,1,False,False,https://lichess.org/vLdlyXfb
10,2021.10.31,17:22:06,Toastbrod007,Mlodziak77,1771,1744,60+0,A51,Indian Defense: Budapest Defense,38,Time forfeit,0-1,1,False,False,https://lichess.org/TYD7TDKv
11,2021.10.30,21:09:34,PILCV,Mlodziak77,1768,1755,60+0,A51,Indian Defense: Budapest Defense,27,Checkmate,1-0,0,False,False,https://lichess.org/gZtf4ouu
12,2021.10.30,21:05:20,Haze1998,Mlodziak77,1685,1756,60+0,A40,Modern Defense,40,Checkmate,0-1,1,False,False,https://lichess.org/2ZUltTBx
13,2021.10.30,21:01:45,ruby24c,Mlodziak77,1766,1761,60+0,A51,Indian Defense: Budapest Defense,34,Checkmate,1-0,0,False,False,https://lichess.org/JtLPvuVd
14,2021.10.30,16:58:56,UT-Superman,Mlodziak77,1814,1772,60+0,C43,Russian Game: Modern Attack,33,Resign,1-0,0,False,False,https://lichess.org/ub591aj4
15,2021.10.30,16:54:03,fmarko,Mlodziak77,1749,1783,60+0,A42,Modern Defense: Averbakh System,38,Time forfeit,1-0,0,False,False,https://lichess.org/q4lrxNxo
16,2021.10.30,13:43:38,danende-dan,Mlodziak77,1793,1794,60+0,B06,Modern Defense: Two Knights Variation,36,Time forfeit,1-0,0,False,False,https://lichess.org/UATJneKr
17,2021.10.30,13:37:20,Admos,Mlodziak77,1745,1778,60+0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",43,Checkmate,0-1,1,False,False,https://lichess.org/EC0XSUzp
18,2021.10.30,13:32:12,berbarkembu,Mlodziak77,1780,1773,60+0,B06,Modern Defense,17,Resign,1-0,0,False,False,https://lichess.org/rdPQxeta
19,2021.10.30,13:30:10,kumaster,Mlodziak77,1771,1767,60+0,B06,Modern Defense: Two Knights Variation,27,Time forfeit,0-1,1,False,False,https://lichess.org/RJEuog8l
20,2021.10.30,13:24:09,Kralj_Matjaz,Mlodziak77,1787,1774,60+0,A00,Hungarian Opening,44,Time forfeit,1-0,0,False,False,https://lichess.org/6xqqKej6
21,2021.10.30,13:21:07,gumieS2evimie10,Mlodziak77,1769,1774,60+0,A51,Indian Defense: Budapest Defense,27,Resign,0-1,1,False,False,https://lichess.org/TNvrFlug
22,2021.10.28,20:44:03,fellipedsg,Mlodziak77,1804,1781,60+0,C21,Center Game: Kieseritzky Variation,25,Time forfeit,0-1,1,False,False,https://lichess.org/72XFck6D
23,2021.10.22,18:23:29,ZeusExMachina,Mlodziak77,1754,1768,60+0,A10,English Opening: Anglo-Dutch Defense,44,Time forfeit,0-1,1,False,False,https://lichess.org/Tn6v8PfM
24,2021.10.22,18:19:27,Aramis81,Mlodziak77,1845,1767,60+0,C43,Russian Game: Modern Attack,34,Time forfeit,1-0,0,False,False,https://lichess.org/I8el1dTo
25,2021.10.22,18:17:16,fisben,Mlodziak77,1763,1761,60+0,A00,Hungarian Opening: Symmetrical Variation,38,Time forfeit,0-1,1,False,False,https://lichess.org/zOPrfuoL
26,2021.10.22,18:12:38,Andrea171063,Mlodziak77,1718,1762,60+0,A45,Trompowsky Attack,47,Time forfeit,0-1,1,False,False,https://lichess.org/rQhTCGvi
27,2021.10.22,10:08:21,elangputih,Mlodziak77,1721,1762,60+0,C00,French Defense: La Bourdonnais Variation,13,Checkmate,1-0,0,False,False,https://lichess.org/pd8PBUab
28,2021.10.18,21:14:23,Kunkka7,Mlodziak77,1754,1756,60+0,C46,Four Knights Game,16,Resign,0-1,1,False,False,https://lichess.org/NmXCikDe
29,2021.10.18,21:12:33,hiihigh,Mlodziak77,1664,1752,60+0,A00,Hungarian Opening,29,Checkmate,0-1,1,False,False,https://lichess.org/YSBBhVLD
30,2021.10.18,21:07:32,CorwinCZ,Mlodziak77,1734,1745,60+0,A40,Englund Gambit,20,Checkmate,1-0,0,False,False,https://lichess.org/05NCzLDv
31,2021.10.18,20:46:45,Kyronit,Mlodziak77,1760,1739,60+0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",57,Time forfeit,1/2-1/2,0.5,False,False,https://lichess.org/nvIQTBgf
32,2021.10.18,20:42:50,DevilGigatron,Mlodziak77,1770,1752,60+0,A00,Hungarian Opening,42,Checkmate,1-0,0,False,False,https://lichess.org/xb5ckZC7
33,2021.10.18,20:39:18,shandar,Mlodziak77,1714,1739,60+0,C26,Vienna Game: Falkbeer Variation,37,Checkmate,0-1,1,False,False,https://lichess.org/3sJRxUhX
34,2021.10.18,20:37:45,Tomas_el_apostol,Mlodziak77,1672,1733,60+0,A45,Indian Defense: Pawn Push Variation,35,Resign,0-1,1,False,False,https://lichess.org/hiOlcGET
35,2021.10.18,20:32:47,Cee-loooow,Mlodziak77,1692,1713,60+0,A45,Indian Defense,32,Time forfeit,0-1,1,False,False,https://lichess.org/FnnQiZru
36,2021.10.18,20:19:31,CommEngineer,Mlodziak77,1706,1706,60+0,C43,Russian Game: Modern Attack,21,Checkmate,0-1,1,False,False,https://lichess.org/bdRQxt8F
37,2021.10.18,20:15:29,DilekRamazan2112,Mlodziak77,1692,1721,60+0,C34,King's Gambit Accepted: Schallopp Defense,40,Time forfeit,1-0,0,False,False,https://lichess.org/lKYzDWXM
38,2021.10.18,20:10:52,HR-Schaper,Mlodziak77,1739,1695,60+0,A45,Indian Defense,27,Resign,0-1,1,False,False,https://lichess.org/Qli5D7A8
39,2021.10.18,20:08:09,mendu8055,Mlodziak77,1677,1680,60+0,A00,Mieses Opening,51,Time forfeit,0-1,1,False,False,https://lichess.org/vTmPyubV
40,2021.10.18,20:04:53,Wojtasmistrz,Mlodziak77,1659,1663,60+0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",21,Resign,0-1,1,False,False,https://lichess.org/WK2uXsNJ
41,2021.10.18,15:17:45,EdisBihorac,Mlodziak77,1680,1653,60+0,A40,Englund Gambit,27,Time forfeit,0-1,1,False,False,https://lichess.org/WPLym0bf
42,2021.10.18,15:13:58,EyeKey29,Mlodziak77,1627,1654,60+0,C42,Russian Game: Stafford Gambit,16,Checkmate,0-1,1,False,False,https://lichess.org/xyKbehBh
43,2021.10.15,08:36:09,defriz,Mlodziak77,1580,1646,60+0,A00,Ware Opening,36,Time forfeit,0-1,1,False,False,https://lichess.org/0bc5SwYU
44,2021.10.14,17:02:25,PRIETOBETIS,Mlodziak77,1601,1627,60+0,B06,Modern Defense,40,Time forfeit,0-1,1,False,False,https://lichess.org/G3BkSpr9
45,2021.10.14,13:38:13,rachitb05,Mlodziak77,1624,1627,60+0,A45,Indian Defense,47,Time forfeit,1-0,0,False,False,https://lichess.org/tqxegTQy
46,2021.10.12,15:46:38,Khanmohammadiamirali,Mlodziak77,1623,1617,60+0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",41,Time forfeit,0-1,1,False,False,https://lichess.org/nVdADZb4
47,2021.10.12,15:37:03,Grpr1995,Mlodziak77,1608,1606,60+0,A45,Indian Defense,27,Resign,0-1,1,False,False,https://lichess.org/wAULSQMZ
48,2021.10.12,15:35:21,ostdejan,Mlodziak77,1595,1607,60+0,C49,Four Knights Game: Double Spanish,23,Checkmate,1-0,0,False,False,https://lichess.org/GyB9dBEt
49,2021.10.12,15:22:33,JackHanley,Mlodziak77,1602,1620,60+0,C50,Four Knights Game: Italian Variation,28,Time forfeit,0-1,1,True,False,https://lichess.org/4f50P3Na
50,2021.10.12,09:13:51,ForeverBeginner46,Mlodziak77,1618,1607,60+0,B06,Modern Defense,17,Checkmate,0-1,1,False,False,https://lichess.org/zgKgBDw0
51,2021.10.08,21:27:43,KQRBH2000P,Mlodziak77,1586,1577,60+0,C44,Ponziani Opening: Jaenisch Counterattack,27,Resign,0-1,1,False,False,https://lichess.org/IjOvzRj4
52,2021.10.07,09:57:03,mirrlivv,Mlodziak77,1534,1551,60+0,B06,Modern Defense,38,Time forfeit,0-1,1,False,False,https://lichess.org/e9Fu1EDQ
53,2021.10.07,09:54:18,mckyam,Mlodziak77,1542,1536,60+0,A04,Zukertort Opening: Kingside Fianchetto,29,Time forfeit,0-1,1,False,False,https://lichess.org/TZhiB8OM
54,2021.09.26,20:31:45,George1235,Mlodziak77,1504,1507,60+0,B06,Modern Defense: Three Pawns Attack,39,Time forfeit,0-1,1,False,False,https://lichess.org/t6kFEQ31
55,2021.09.26,20:23:55,JINAWA,Mlodziak77,1462,1541,60+0,C42,Russian Game,41,Time forfeit,1-0,0,False,False,https://lichess.org/nR28jQ5c
56,2021.08.18,15:19:35,Rohit782,Mlodziak77,1518,1514,60+0,B06,Modern Defense,3,Resign,0-1,1,False,False,https://lichess.org/KuHXsWiJ
