id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
107,2018.12.14,10:17:22,grooney,Petr_M,1861,1852,600+0,C01,"French Defense: Exchange Variation, Svenonius Variation",89,Time forfeit,0-1,0,False,False,https://lichess.org/hXwGIZBb
108,2018.12.10,09:52:30,grooney,snegi,1877,1911,600+0,B90,Sicilian Defense: Najdorf Variation,62,Checkmate,0-1,0,False,False,https://lichess.org/tAeqHZaX
109,2018.12.10,09:39:11,grooney,tritraktorka,1894,1925,600+0,B08,Pirc Defense: Classical Variation,50,Checkmate,0-1,0,False,False,https://lichess.org/LrPnSssZ
110,2018.12.09,22:21:52,grooney,Fas1961,1862,1804,600+0,B01,Scandinavian Defense: Mieses-Kotroc Variation,44,Checkmate,1-0,1,True,False,https://lichess.org/VgEHZViS
111,2018.12.09,21:28:01,grooney,Uaua-Bahia,1840,1876,600+0,C62,Ruy Lopez: Steinitz Defense,42,Checkmate,0-1,0,False,False,https://lichess.org/kPEGrFpx
112,2018.12.09,13:49:57,grooney,sirodi,1861,2001,600+0,B06,Modern Defense,49,Resign,1-0,1,False,False,https://lichess.org/1HWY5ZXX
113,2018.12.09,13:11:27,grooney,SpawnieEe,1834,1813,600+0,B32,Sicilian Defense: Open,19,Checkmate,1-0,1,True,False,https://lichess.org/prp69HZm
114,2018.12.06,11:42:45,grooney,kamileo96,1883,1247,600+3,C60,Ruy Lopez: Spanish Countergambit,43,Resign,1-0,1,False,True,https://lichess.org/IBHRf8q1
115,2018.12.04,12:20:28,grooney,AJK016,1910,2013,600+0,B90,Sicilian Defense: Najdorf Variation,21,Time forfeit,0-1,0,True,False,https://lichess.org/XIo66cmN
116,2018.12.04,11:04:53,grooney,kamileo96,1906,1256,900+1,C20,English Opening: The Whale,19,Resign,1-0,1,False,True,https://lichess.org/7qC02CvV
117,2018.12.04,10:10:54,grooney,Snooze4,1884,1500,600+3,C41,Philidor Defense,26,Checkmate,1-0,1,False,True,https://lichess.org/MZydhyWQ
118,2018.12.03,10:34:18,grooney,kamileo96,1880,1279,360+3,C60,Ruy Lopez: Spanish Countergambit,47,Time forfeit,1-0,1,False,True,https://lichess.org/qvtZyvoR
119,2018.12.03,10:05:31,grooney,Makomiec,1858,1500,600+3,C40,King's Pawn Game: Damiano Defense,12,Checkmate,1-0,1,False,True,https://lichess.org/3nMG3M9R
120,2018.12.01,20:40:18,grooney,konstantinos67,1749,1762,600+0,C41,Philidor Defense,22,Checkmate,1-0,1,True,False,https://lichess.org/GjfcsewL
121,2018.11.30,22:59:20,grooney,mohsen43,1797,1878,600+0,C45,Scotch Game,63,Time forfeit,0-1,0,False,False,https://lichess.org/XpoClllI
122,2018.11.30,22:25:56,grooney,Pervach,1869,1880,600+0,C01,French Defense: Exchange Variation,52,Resign,1/2-1/2,0.5,False,False,https://lichess.org/PbuDpqwQ
123,2018.11.29,22:49:40,grooney,samak,1720,1785,600+0,B56,Sicilian Defense: Classical Variation,41,Time forfeit,1-0,1,True,False,https://lichess.org/vbG8dJui
