id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.12.15,21:17:15,grooney,samtoyousir,2222,2219,180+0,B23,Sicilian Defense: Grand Prix Attack,32,Resign,0-1,0,False,False,https://lichess.org/wjm7uOQt
2,2021.12.15,21:13:25,grooney,kuttus,2228,2239,180+0,D45,Semi-Slav Defense: Normal Variation,31,Checkmate,0-1,0,False,False,https://lichess.org/ZCdD62LB
3,2021.12.15,21:07:28,grooney,HaceClickEnLaBandera,2223,2172,180+0,D06,Queen's Gambit Declined: Marshall Defense,28,Resign,1-0,1,False,False,https://lichess.org/bamj2Hrg
4,2021.12.15,20:47:25,grooney,avirod,2212,2207,180+0,A60,Benoni Defense: Modern Variation,49,Resign,0-1,0,False,False,https://lichess.org/UnRm1ZfG
5,2021.12.10,14:19:55,grooney,soltanovch,2216,2289,180+0,C40,Elephant Gambit,28,Checkmate,0-1,0,False,False,https://lichess.org/SSvkv7bq
6,2021.12.10,13:27:12,grooney,ornello1,2215,2262,180+0,B10,Caro-Kann Defense: Breyer Variation,86,Resign,1/2-1/2,0.5,False,False,https://lichess.org/b4rPu34h
7,2021.12.09,17:38:28,grooney,Coach_W3ndel1,2221,2221,180+0,E06,Catalan Opening: Closed,12,Resign,0-1,0,False,False,https://lichess.org/2soD4zGu
8,2021.12.09,17:26:00,grooney,SeriKentau,2221,2224,180+0,B01,Scandinavian Defense: Mieses-Kotroc Variation,72,Time forfeit,1/2-1/2,0.5,False,False,https://lichess.org/I5gnug7m
9,2021.12.06,20:40:38,grooney,scacchidelnord,2222,2188,180+0,E60,GrĂĽnfeld Defense: Counterthrust Variation,37,Resign,0-1,0,False,False,https://lichess.org/P7DCdo2p
10,2021.12.04,18:48:46,grooney,Onihie,2228,2192,180+0,A80,Dutch Defense,36,Time forfeit,1-0,1,False,False,https://lichess.org/I3gEISh4
11,2021.12.04,18:45:26,grooney,alberteinsten33,2233,2236,180+0,D43,Semi-Slav Defense,26,Resign,0-1,0,False,False,https://lichess.org/VDAWkiU7
12,2021.12.04,18:39:20,grooney,hamidinoor,2240,2194,180+0,D15,Slav Defense: Three Knights Variation,65,Time forfeit,0-1,0,False,False,https://lichess.org/nIpQOUJQ
13,2021.12.04,18:35:21,grooney,Kormakur123,2228,2215,180+0,D85,"GrĂĽnfeld Defense: Exchange Variation, Modern Exchange Variation",36,Resign,1-0,1,False,False,https://lichess.org/Z0uHR8Tn
14,2021.12.04,18:28:33,grooney,Tusha44,2222,2192,180+0,A43,Benoni Defense: Old Benoni,59,Time forfeit,1-0,1,False,False,https://lichess.org/SkWtonqY
15,2021.12.04,14:06:46,grooney,Ralph74,2225,2400,180+0,A41,Old Indian Defense,43,Checkmate,0-1,0,False,False,https://lichess.org/HZkC7gbT
16,2021.12.03,13:14:19,grooney,saidamirbaku89,2229,2290,180+0,A40,Mikenas Defense: Lithuanian Variation,50,Time forfeit,0-1,0,False,False,https://lichess.org/91c5dWiR
17,2021.12.03,13:09:56,grooney,TeSacudo,2235,2238,180+0,A57,Benko Gambit Accepted: Pawn Return Variation,35,Resign,0-1,0,False,False,https://lichess.org/nT2Yuu2N
18,2021.12.03,12:09:32,grooney,Reali,2238,2262,180+0,E06,Catalan Opening: Closed,28,Resign,0-1,0,False,False,https://lichess.org/qXH31AvD
19,2021.12.03,11:55:21,grooney,SchImIdt,2226,2214,180+0,A57,Benko Gambit Accepted: Pawn Return Variation,33,Checkmate,1-0,1,True,False,https://lichess.org/Y8P8cbXx
20,2021.12.02,17:49:21,grooney,happyme1981,2213,2206,180+0,A80,Dutch Defense: Hopton Attack,39,Resign,1-0,1,False,False,https://lichess.org/7g32RdnB
21,2021.12.02,17:43:42,grooney,Mukali,2207,2217,180+0,E70,King's Indian Defense: Normal Variation,46,Checkmate,1-0,1,False,False,https://lichess.org/S1ibFVsf
22,2021.12.02,17:40:12,grooney,Skzvizd,2207,2170,180+0,A40,Englund Gambit Complex: Englund Gambit,17,Resign,1-0,1,False,False,https://lichess.org/1cRXJi4H
23,2021.12.02,16:15:29,grooney,Zweitausend7,2197,2128,180+0,D30,Queen's Gambit Declined,22,Time forfeit,1-0,1,False,False,https://lichess.org/NjZcIk5Q
24,2021.12.02,16:02:42,grooney,EmCaguenTot,2183,2266,180+0,E01,Catalan Opening: Closed,33,Checkmate,1-0,1,False,False,https://lichess.org/kdmcoSZq
25,2021.12.02,15:54:24,grooney,Leonid53,2184,2153,180+0,A52,"Indian Defense: Budapest Defense, Adler Variation",33,Resign,0-1,0,False,False,https://lichess.org/jnNsfH9V
26,2021.12.02,15:10:49,grooney,Raissaxadrez,2179,2109,180+0,E01,Catalan Opening: Closed,43,Resign,1-0,1,False,False,https://lichess.org/N5LD9ISl
27,2021.12.02,14:58:14,grooney,hrahor,2169,2097,180+0,E70,King's Indian Defense: Normal Variation,65,Time forfeit,1-0,1,False,False,https://lichess.org/hsjkyzKc
28,2021.12.02,13:27:00,grooney,RobertsZiedins,2180,2180,180+0,C63,Ruy Lopez: Schliemann Defense,15,Resign,0-1,0,False,False,https://lichess.org/m49mDaxm
29,2021.12.02,13:22:41,grooney,merciless_ant,2186,2179,180+0,B00,Owen Defense,29,Checkmate,0-1,0,False,False,https://lichess.org/wtuwxF9Y
30,2021.12.01,22:09:51,grooney,Al-J,2192,2181,180+0,D07,"Queen's Gambit Declined: Chigorin Defense, Modern Gambit",13,Resign,0-1,0,False,False,https://lichess.org/IfGKHWX4
31,2021.12.01,22:05:43,grooney,GustavoParreira1351,2197,2224,180+0,E18,"Queen's Indian Defense: Classical Variation, Traditional Variation, Nimzowitsch Line",47,Checkmate,0-1,0,False,False,https://lichess.org/t7kGYObD
32,2021.12.01,22:02:24,grooney,Schachtiger_OH,2204,2133,180+0,C00,French Defense: Queen's Knight,25,Resign,0-1,0,False,False,https://lichess.org/6PLEIFCz
33,2021.12.01,17:21:19,grooney,tato2711,2210,2206,180+0,B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",47,Time forfeit,0-1,0,False,False,https://lichess.org/NV7aHULc
34,2021.12.01,17:16:23,grooney,Lot105,2217,2172,180+0,B01,Scandinavian Defense: Mieses-Kotroc Variation,51,Resign,0-1,0,False,False,https://lichess.org/rOg0KYT4
35,2021.11.24,21:28:00,grooney,kepia,2228,2160,180+0,A43,Benoni Defense: Old Benoni,47,Time forfeit,0-1,0,False,False,https://lichess.org/7Joc3VsH
36,2021.11.24,21:22:33,grooney,Morangos,2233,2261,180+0,A52,"Indian Defense: Budapest Defense, Adler Variation",38,Checkmate,0-1,0,False,False,https://lichess.org/3wD6bvNk
37,2021.11.24,20:57:46,grooney,fluxus2020,2232,2314,180+0,D06,Queen's Gambit Declined: Marshall Defense,45,Resign,0-1,0,False,False,https://lichess.org/XzUGaves
38,2021.11.17,23:32:44,grooney,lozovskiy18,2238,2273,180+0,E00,Catalan Opening,23,Resign,1-0,1,False,False,https://lichess.org/zRdqdtFO
39,2021.11.17,23:16:17,grooney,eldebarva,2230,2237,180+0,A43,Benoni Defense: Old Benoni,36,Checkmate,0-1,0,False,False,https://lichess.org/wCzMovlS
40,2021.11.17,23:13:40,grooney,jrsm3399,2225,2162,180+0,D02,Queen's Gambit Accepted: Rosenthal Variation,16,Resign,1-0,1,False,False,https://lichess.org/hDyJc46O
41,2021.11.17,22:17:16,grooney,CroqueMais,2231,2237,180+0,A57,Benko Gambit Accepted: Pawn Return Variation,91,Checkmate,0-1,0,False,False,https://lichess.org/DF5573Dg
42,2021.11.17,22:06:21,grooney,kobebryant72,2219,2203,180+0,A43,Benoni Defense: Old Benoni,43,Resign,1-0,1,False,False,https://lichess.org/k471gDmT
43,2021.11.17,21:14:36,grooney,yemolala,2213,2229,180+0,D30,Queen's Gambit Declined,32,Resign,0-1,0,False,False,https://lichess.org/eXg0ICSW
44,2021.11.17,21:07:51,grooney,SsNeIc,2207,2219,180+0,A82,Rat Defense: Balogh Defense,35,Checkmate,1-0,1,True,False,https://lichess.org/StscIOAr
45,2021.11.17,19:00:56,grooney,moguzii,2220,2154,180+0,A40,Queen's Pawn Game,17,Resign,0-1,0,False,False,https://lichess.org/BCVF2kmn
46,2021.11.14,19:11:24,grooney,HectorMG,2241,2299,180+0,B06,Modern Defense,18,Resign,0-1,0,False,False,https://lichess.org/wN0qfcIx
47,2021.11.14,18:04:18,grooney,BryanMarin24,2237,2172,180+0,D30,Queen's Gambit Declined,46,Time forfeit,1-0,1,False,False,https://lichess.org/uv9hYTgX
