id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
240,2020.12.07,18:11:58,spostalegna,tymekkk,1630,1610,180+2,A07,Kings Indian: Attack,47,-,1-0,0,False,True,Chess.com
241,2020.12.07,18:26:48,spostalegna,tymekkk,1622,1618,180+2,A04,Reti Opening: Kingside Fianchetto Variation,51,-,1/2-1/2,0.5,False,True,Chess.com
242,2020.12.07,18:44:48,Sobekus,tymekkk,1639,1602,180+2,D30,Queens Gambit: Declined 3.Nf3 Nf6,34,-,1-0,0,False,True,Chess.com
243,2020.12.07,19:06:48,ivan97273,tymekkk,1607,1626,180+2,B51,Sicilian Defense: Canal Attack 3...Nc6 4.Bxc6,24,-,0-1,1,False,True,Chess.com
244,2020.12.07,19:22:19,txusnibal82,tymekkk,1674,1627,180+2,B20,Sicilian Defense: Bowdler Attack,58,-,1-0,0,False,True,Chess.com
245,2020.12.07,19:41:47,jinxotx,tymekkk,1546,1623,180+2,D00,Queens Pawn: Opening Accelerated London System,24,-,1-0,0,False,True,Chess.com
246,2020.12.07,20:48:04,azleo,tymekkk,1545,1613,180+2,C00,French Defense: La Bourdonnais Variation 2...d5,43,-,1/2-1/2,0.5,False,True,Chess.com
247,2020.12.08,15:54:23,Miffotoqraff,tymekkk,1745,1614,180+2,B23,Sicilian Defense: Grand Prix Attack 3...d6 4.Nf3 g6,33,-,1-0,0,False,True,Chess.com
248,2020.12.08,18:06:54,Joakoaan,tymekkk,1626,1605,180+2,A45,Indian Game:,24,-,1-0,0,False,True,Chess.com
249,2020.12.08,19:33:46,harunM,tymekkk,1609,1589,180+2,B21,Sicilian Defense: McDonnell Attack 2...Nc6 3.Nf3,14,-,1-0,0,False,True,Chess.com
250,2020.12.08,19:42:51,Ataoy,tymekkk,1538,1596,180+2,D38,Queens Gambit: Declined Ragozin Defense 5.Bg5,30,-,0-1,1,False,True,Chess.com
251,2020.12.08,19:58:21,jvedreno,tymekkk,1590,1579,180+2,B23,Sicilian Defense: Closed Traditional Line,30,-,1-0,0,False,True,Chess.com
252,2020.12.09,19:47:27,maherchess73,tymekkk,1615,1572,180+2,B20,Sicilian Defense: Bowdler Attack,29,-,1-0,0,False,True,Chess.com
253,2020.12.10,09:30:49,venu888,tymekkk,1558,1558,180+2,B20,Sicilian Defense: Lasker Dunne Attack,25,-,1-0,0,False,True,Chess.com
254,2020.12.10,13:29:00,masakk,tymekkk,1569,1559,180+2,A07,Kings Indian: Attack Yugoslav Variation,31,-,0-1,1,False,True,Chess.com
255,2020.12.10,13:37:10,Robinson1953,tymekkk,1591,1568,180+2,B20,Sicilian Defense: 2.d3 Nc6 3.c3,49,-,0-1,1,False,True,Chess.com
256,2020.12.10,13:57:05,Pradeep1889,tymekkk,1579,1583,180+2,A40,Modern Defense: with 1 d4 2.Nf3,63,-,0-1,1,False,True,Chess.com
257,2020.12.10,14:16:27,zia214,tymekkk,1551,1598,180+2,B50,Sicilian Defense: Delayed Alapin Variation 3...Nf6,9,-,0-1,1,False,True,Chess.com
258,2020.12.10,14:40:57,sujith93,tymekkk,1615,1598,180+2,B52,Sicilian Defense: Canal Main Line Sokolsky Variation 5...Nc6,40,-,1-0,0,False,True,Chess.com
259,2020.12.10,14:57:37,sujith93,tymekkk,1630,1583,180+2,B52,Sicilian Defense: Canal Main Line Sokolsky Variation 5...Nc6,36,-,1-0,0,False,True,Chess.com
260,2020.12.10,19:47:10,Bali2019,tymekkk,1489,1589,180+2,B90,Sicilian Defense: Open Najdorf Variation 6.a4,30,-,0-1,1,False,True,Chess.com
261,2020.12.11,08:25:53,Serg21,tymekkk,1576,1582,180+2,D35,Queens Gambit: Declined Queens Knight Variation 3...Nf6,32,-,1-0,0,False,True,Chess.com
262,2020.12.11,08:42:32,Serg21,tymekkk,1576,1582,180+2,E61,Kings Indian: Defense Normal Variation 4.Nf3 O O,37,-,0-1,1,False,True,Chess.com
263,2020.12.11,09:14:32,Jeff2012,tymekkk,1581,1582,180+2,D96,Grunfeld Defense: Russian Variation 5...c6 6.cxd5 Nxd5,35,-,0-1,1,False,True,Chess.com
264,2020.12.11,09:26:48,Zimorodok174,tymekkk,1683,1570,180+2,B53,Sicilian Defense: Tartakower Variation,25,-,1-0,0,False,True,Chess.com
265,2020.12.11,09:35:36,KaanTopkaya,tymekkk,1567,1572,180+2,B50,Sicilian Defense: 2.Nf3 d6,38,-,1-0,0,False,True,Chess.com
266,2020.12.11,14:16:23,FangBo,tymekkk,1700,1583,180+2,B52,Sicilian Defense: Canal Main Line Sokolsky Variation,35,-,0-1,1,False,True,Chess.com
267,2020.12.12,09:01:53,Sgolkhar,tymekkk,1513,1582,180+2,B50,Sicilian Defense: 2.Nf3 d6,29,-,0-1,1,False,True,Chess.com
268,2020.12.12,21:00:49,Aloizia,tymekkk,1602,1565,180+2,A45,Indian Game:,16,-,1-0,0,False,True,Chess.com
269,2020.12.13,14:58:34,Sarika28,tymekkk,1591,1557,180+2,B21,Sicilian Defense: Smith Morra Gambit Accepted 4.Nxc3,12,-,1-0,0,False,True,Chess.com
270,2020.12.13,15:06:42,Gesninovich,tymekkk,1506,1571,180+2,E00,Indian Game: East Indian Defense,56,-,0-1,1,False,True,Chess.com
271,2020.12.13,20:28:58,manuelud201Do,tymekkk,1657,1572,180+2,B20,Sicilian Defense: Lasker Dunne Attack,29,-,1-0,0,False,True,Chess.com
272,2020.12.14,16:49:33,HoratioCrunch,tymekkk,1534,1570,180+2,B50,Sicilian Defense: 2.Nf3 d6,39,-,0-1,1,False,True,Chess.com
273,2020.12.14,18:15:48,kkmono,tymekkk,1585,1587,180+2,B22,Sicilian Defense: Alapin Variation 2...Nc6,24,-,0-1,1,False,True,Chess.com
274,2020.12.14,18:40:28,grimmerio,tymekkk,1534,1591,180+2,C01,French Defense: Exchange Variation 3...exd5,25,-,0-1,1,False,True,Chess.com
275,2020.12.14,18:45:30,Baktess,tymekkk,1586,1583,180+2,C10,French Defense: Rubinstein Blackburne Defense 5.Nf3 Ngf6 6.Bd3,30,-,1-0,0,False,True,Chess.com
276,2020.12.14,18:59:16,Baktess,tymekkk,1602,1567,180+2,B23,Sicilian Defense: Grand Prix Attack 3...d6 4.Nf3,15,-,1-0,0,False,True,Chess.com
277,2020.12.14,19:12:08,popov52,tymekkk,1641,1577,180+2,A16,English Opening: Anglo Indian Queens Knight Variation 2...g6 3.g3,53,-,0-1,1,False,True,Chess.com
278,2020.12.14,19:22:18,filipov_ani,tymekkk,1511,1576,180+2,E00,Indian Game: East Indian Defense,25,-,0-1,1,False,True,Chess.com
279,2020.12.14,19:33:48,Hehe1111,tymekkk,1570,1592,180+2,B54,Sicilian Defense: Open Prins Variation 5...a6,31,-,0-1,1,False,True,Chess.com
280,2020.12.14,19:54:49,Baktess,tymekkk,1572,1600,180+2,B20,Sicilian Defense: Wing Gambit 2...cxb4,16,-,0-1,1,False,True,Chess.com
281,2020.12.14,20:00:33,BBroz,tymekkk,1628,1585,180+2,B51,Sicilian Defense: Canal Attack 3...Nc6 4.O O,40,-,1-0,0,False,True,Chess.com
282,2020.12.15,08:24:38,SrgTr,tymekkk,1502,1582,180+2,B90,Sicilian Defense: Open Najdorf English Attack...7.Nb3 Be6 8.f3 Be7,45,-,0-1,1,False,True,Chess.com
283,2020.12.15,08:32:24,radostin0,tymekkk,1583,1574,180+2,B50,Sicilian Defense: 2.Nf3 d6,25,-,1-0,0,False,True,Chess.com
284,2020.12.15,08:45:39,vitasbaranauskas,tymekkk,1558,1582,180+2,B51,Sicilian Defense: Canal Attack 3...Nc6,24,-,0-1,1,False,True,Chess.com
285,2020.12.15,10:22:15,ma5er,tymekkk,1613,1575,180+2,A45,Indian Game:,92,-,1/2-1/2,0.5,False,True,Chess.com
286,2020.12.15,10:48:01,Numicius77,tymekkk,1612,1583,180+2,A20,English Opening: Kings English Variation 2.g3,22,-,0-1,1,False,True,Chess.com
287,2020.12.15,20:45:24,Ymerkong,tymekkk,1594,1584,180+2,B90,Sicilian Defense: Open Najdorf English Attack 6...e5,42,-,0-1,1,False,True,Chess.com
288,2020.12.15,21:03:58,Dionis2019,tymekkk,1615,1584,180+2,B20,Sicilian Defense: Bowdler Attack,22,-,1-0,0,False,True,Chess.com
289,2020.12.15,21:08:08,Trachurus,tymekkk,1625,1593,180+2,B21,Sicilian Defense: Smith Morra Gambit...3.Qxd4 Nc6 4.Qd1 Nf6,38,-,0-1,1,False,True,Chess.com
290,2020.12.16,18:59:53,android27,tymekkk,1645,1602,180+2,B50,Sicilian Defense: 2.Nf3 d6,58,-,0-1,1,False,True,Chess.com
291,2020.12.16,19:27:16,azo1964,tymekkk,1719,1603,180+2,B21,Sicilian Defense: McDonnell Attack 2...Nc6 3.Nf3 g6,49,-,1-0,0,False,True,Chess.com
292,2020.12.16,19:45:16,Bootwinik,tymekkk,1667,1613,180+2,B22,Sicilian Defense: Alapin Variation 2...Nc6 3.d4,69,-,0-1,1,False,True,Chess.com
293,2020.12.18,07:11:11,TalKasMagInMyBrain,tymekkk,1532,1611,180+2,D02,Queens Pawn: Opening Symmetrical Variation,27,-,0-1,1,False,True,Chess.com
294,2020.12.18,07:32:11,andrei736,tymekkk,1668,1620,180+2,B90,Sicilian Defense: Open Najdorf Variation 6.f3,36,-,0-1,1,False,True,Chess.com
295,2020.12.18,07:41:38,damian_lancha,tymekkk,1656,1613,180+2,B50,Sicilian Defense: 2.Nf3 d6,70,-,1-0,0,False,True,Chess.com
296,2020.12.18,10:00:20,ados12345,tymekkk,1608,1613,180+2,C00,French Defense: Knight Variation 2...d5 3.e5 c5,63,-,0-1,1,False,True,Chess.com
297,2020.12.19,12:49:30,Chevalier17,tymekkk,1616,1613,180+2,C05,French Defense: Tarrasch Closed 4.e5 Nfd7 5.c3,39,-,1-0,0,False,True,Chess.com
298,2020.12.20,11:12:37,mildester,tymekkk,1663,1614,180+2,C05,French Defense: Tarrasch Closed...5.Bd3 c5 6.c3 Nc6 7.Ngf3,39,-,1-0,0,False,True,Chess.com
299,2020.12.20,15:47:59,Eriikchess,tymekkk,1642,1630,180+2,C00,French Defense: Queens Knight Pelikan Variation,33,-,0-1,1,False,True,Chess.com
300,2020.12.20,19:41:29,Enot_poloskuns,tymekkk,1615,1647,180+2,C00,French Defense:,37,-,0-1,1,False,True,Chess.com
301,2020.12.20,20:23:11,akhelg,tymekkk,1624,1646,180+2,C00,French Defense: Schlechter Variation,56,-,1/2-1/2,0.5,False,True,Chess.com
302,2020.12.20,21:32:45,AMLASHI,tymekkk,1608,1653,180+2,D00,Queens Pawn: Opening Mason Attack,31,-,0-1,1,False,True,Chess.com
303,2020.12.21,19:38:45,ChessmanSanju,tymekkk,1609,1644,180+2,C02,French Defense: Advance Paulsen Milner Barry Gambit,42,-,1-0,0,False,True,Chess.com
304,2020.12.22,10:41:18,zainalfitri48,tymekkk,1635,1630,180+2,B90,Sicilian Defense: Open Najdorf Lipnitsky Attack,55,-,1-0,0,False,True,Chess.com
305,2020.12.22,10:55:09,Undermoose,tymekkk,1681,1647,180+2,A00,Polish Opening:,34,-,0-1,1,False,True,Chess.com
306,2020.12.22,11:01:46,dandikpaket,tymekkk,1671,1639,180+2,B21,Sicilian Defense: Smith Morra Gambit Accepted 4.Nxc3 e6 5.Nf3,33,-,1-0,0,False,True,Chess.com
307,2020.12.22,12:17:58,stevenfijian,tymekkk,1544,1629,180+2,C00,French Defense: La Bourdonnais Variation 2...d5,29,-,1-0,0,False,True,Chess.com
308,2020.12.22,13:10:11,Acupuncteur,tymekkk,1653,1619,180+2,E60,Kings Indian: Defense Fianchetto Variation 4...O O,24,-,1-0,0,False,True,Chess.com
309,2020.12.23,17:55:29,HarissonWells,tymekkk,1613,1603,180+2,B22,Sicilian Defense: Alapin Variation 2...Nc6 3.d4,25,-,1-0,0,False,True,Chess.com
310,2020.12.23,18:19:42,vdz60,tymekkk,1606,1619,180+2,C02,French Defense: Advance Paulsen Main Line 6...Bd7,18,-,0-1,1,False,True,Chess.com
311,2020.12.23,19:30:29,caieuaine,tymekkk,1610,1618,180+2,C01,French Defense: Exchange Monte Carlo Variation 4...Nf6 5.Nf3,29,-,1-0,0,False,True,Chess.com
312,2020.12.24,20:18:30,KvNcYAZGAN,tymekkk,1640,1602,180+2,E00,Indian Game: East Indian Defense 3.Nc3,34,-,1-0,0,False,True,Chess.com
313,2020.12.24,20:24:56,JJB1,tymekkk,1603,1610,180+2,E61,Kings Indian: Defense Normal Variation,35,-,0-1,1,False,True,Chess.com
314,2020.12.24,20:39:30,kaner36,tymekkk,1634,1609,180+2,C00,French Defense: Knight Variation Wing Gambit,25,-,1-0,0,False,True,Chess.com
315,2020.12.25,11:58:30,hjertstedt,tymekkk,1633,1594,180+2,B90,Sicilian Defense: Open Najdorf Lipnitsky Attack,23,-,1-0,0,False,True,Chess.com
316,2020.12.25,19:22:11,MykolaFilkevych,tymekkk,1585,1602,180+2,B21,Sicilian Defense: McDonnell Attack 2...Nc6 3.Nf3,32,-,0-1,1,False,True,Chess.com
317,2020.12.27,12:25:49,DedZhenya,tymekkk,1619,1578,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nf3 Bd6,42,-,1-0,0,False,True,Chess.com
