Country_code_A3,Name,C_group_IM24_sh,dev_country,Substance,FOOD_system_stage,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
SCG,Serbia and Montenegro,12:_Central Europe,I,GWP_100_CH4,Packaging,0.334564679328802,0.330499141457793,1.77465705642291,0.93173926669526,0.85714715086323,0.888516648992176,2.02895028613542,2.12930561583916,2.25055164734238,0.934942422025711,1.42207938414238,1.01459063679084,0.810795115763815,1.32111312611531,1.81526113183421,6.18474976713161,8.53533892504818,6.59861742560708,17.5318901384517,4.6329882286025,20.3551281085753,19.4281516708967,16.9777270887262,11.1319282368658,12.3169297702245,16.8346212600774
SDN,Sudan,09:_Eastern_Africa,D,GWP_100_CH4,Packaging,0.35224481905705,0.360467272393057,0.359673040868686,0.34095725552665,2.73363294362755,1.9156028456835,2.0988894539248,2.59889367918833,2.44437094711645,4.38235642354615,3.51817124828006,4.66427168562856,5.4146566418884,5.78952233087883,7.11753051804851,7.91414247938976,8.89902935650956,10.456820602897,7.72082874469981,17.7233886006688,24.3684318329621,12.7397878404491,3.93613089785839,5.57862102770148,6.10249968836789,5.97905365639607
SEA,Int. Shipping,27:_Int. Shipping,0,GWP_100_CH4,Packaging,96.4001571899737,100.631245831319,95.1787574606792,96.1255173972528,116.028028007866,114.023548021817,121.373965236182,129.971006546806,132.097298157395,136.386755441467,155.599943126932,154.856329148957,146.286599457444,147.387707606947,171.437293699657,176.398617249913,182.187055780953,169.367954136277,168.697133094262,141.394530745067,154.849276814027,154.518847683779,150.405142023249,159.794459716984,159.113263069054,161.787486264813
SEN,Senegal,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.142835454681918,0.136217408843264,0.152003893467021,0.235584932925168,0.28129253529167,0.520749185417787,0.506844888205087,0.341947102941624,0.31635743557398,0.281458119228555,0.149398826571602,0.131568850666027,0.158216814591493,0.262646190256593,0.769584030086093,0.907615928726931,0.904283895706245,1.07440010328007,1.11264426729452,1.22406777652809,1.45776207880035,1.96854387145667,1.78377998864519,1.82290416922816,1.86393085384264,1.9719582343329
SGP,Singapore,21:_Southeastern Asia,D,GWP_100_CH4,Packaging,4.80906739016993,5.62722905160717,5.66356535306611,6.07340542941388,7.18916501931828,6.6764322038956,7.20146234183964,7.23763046331148,6.7753221646569,7.0677607194016,7.16958900191763,7.20051399099959,6.35465159135328,6.53661214129434,7.91544162719033,8.41018308060172,8.3660560945906,7.98460040821243,8.12200052255956,6.34059653281055,7.26737179653089,7.47604136649243,7.34446155758338,7.29783326661985,7.03146275622544,6.6093786776139
SHN,Saint Helena,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.00267512402252743,0.00116865953930109,0.000779759984025647,0.00133273535310722,0.00207047068427039,0.00192281009382882,0.00149855279918792,0.00201629468251079,0.00193663877743001,0.00270896366118331,0.00773187262342872,0.00570666540354806,0.00658831013902649,0.00628054950785743,0.0100626257035945,0.0108122897515766,0.0106151950488445,0.0128126469803452,0.0178650221510178,0.0168826774132866,0.0185364019832727,0.0193711111995214,0.0187587774733163,0.0225420877851153,0.0228188035878984,0.0228006812164878
SLB,Solomon Islands,24:_Oceania,D,GWP_100_CH4,Packaging,0.0413670105256954,0.0481904618883147,0.0516573502521099,0.0504657672785385,0.042349720293236,0.0407598122040853,0.0433468738023562,0.0323709204890157,0.0331674590054693,0.0375148985979111,0.0450347798401824,0.0414316096985687,0.0296266368051731,0.0256928214430523,0.0407015020865126,0.0645234899947578,0.0608235792019727,0.0489423814644324,0.0542832676174444,0.039187337642439,0.0382123739019014,0.0362439207145095,0.0334331004814174,0.0200072849443067,0.0219057826396408,0.0259719788368378
SLE,Sierra Leone,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.00647108554183852,0.00972146198537569,0.00851408523410517,0.0103099000314963,0.0121449425007139,0.0158132189245082,0.0329492258161962,0.101561418589206,0.134106292730311,0.167614107183124,0.21633310460652,0.375144758460508,0.422566470625441,0.506193638640585,1.15741830060011,0.48950259685032,0.695880044560911,0.501414579001584,0.45578742287836,0.434865444988405,0.419670957479447,0.417944610070802,0.406886787425518,0.601973251960486,0.614638528563596,0.61663647321799
SLV,El Salvador,04:_Rest Central America,D,GWP_100_CH4,Packaging,0.0575647185430214,0.0726067934525747,0.0721550994243851,0.0819984691827346,0.0929990757835912,0.083585075241675,0.0821808780365978,0.0911169157950932,0.10030416422069,0.110280369505386,0.115485070122624,0.122185470203863,0.115594273572906,0.14540130418979,0.159472163579608,0.165172081413482,0.164572049572251,0.195104923735369,0.194745045667026,0.207309000557498,0.229844072810076,0.230514441902962,0.177299232953474,0.0830186194361113,0.0841707834662818,0.118976901870911
SOM,Somalia,09:_Eastern_Africa,D,GWP_100_CH4,Packaging,0.00584940782962342,0.00488151102060999,0.00618454141317341,0.0074978720784652,0.00883434138539201,0.0105340150550829,0.0219695558103212,0.067718019238924,0.0894504902138907,0.111810928791817,0.166758501183163,0.268510438092398,0.302551760574945,0.362439485391174,0.68212757257781,0.908451461762617,0.974295037811831,0.752181898336324,0.683842085114571,0.532223774816337,0.560151275891496,0.558346791850534,0.543532279538523,0.484223241670409,0.485653225111429,0.478248369611082
SPM,Saint Pierre and Miquelon,02:_USA,I,GWP_100_CH4,Packaging,0.00372883141074194,0.00339398716256976,0.00380897011712817,0.00237849292641637,0.00275759789559037,0.00128649066003736,0.00129695197452917,0.00101215768480566,0.000994170369201618,0.0011715834839357,0.00075890402228304,0.000641464840637672,0.000609432151227054,0.000588527837048881,0.000683100364069721,0.000639725676910562,0.000785853389447271,0.000811333075178467,0.00085995230877629,0.000743225272790462,0.000692775669400471,0.000928479576832869,0.000936686216028449,0.000825521696687566,0.000962084505454929,0.000940066687255167
STP,Sao Tome and Principe,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.000395837844769795,0.000586517162722207,0.000750348424317058,0.000916438696486655,0.00108349439263454,0.00129805316556412,0.00271986002903836,0.00843714743588054,0.0111473881458997,0.0139363362087819,0.0165764804453774,0.0267181455883358,0.0300990441013103,0.0360672625459934,0.0680007004343876,0.0697116464467642,0.138842239526539,0.0624980412088323,0.113562202128439,0.0962722010085216,0.0929030112335342,0.0924038285958701,0.0899711632593475,0.0799974885257113,0.0844691421438138,0.0826641459851614
SUR,Suriname,06:_Rest South America,D,GWP_100_CH4,Packaging,0.0302086712882012,0.0338271563074921,0.0575411465222689,0.0585014292414348,0.0723938706881827,0.0664231597214055,0.0743649918470207,0.07265681642733,0.0639683527566291,0.0869131178681132,0.523907681141922,0.56866239278117,0.529990210443591,0.478119542659487,0.499081172198412,0.541456541910198,0.601516354012673,0.634312007329298,0.686108489710769,0.604318677896734,0.648579521499374,0.656596698250911,0.650684358785628,0.68996314329887,0.718706649532081,0.708427874105028
SVK,Slovakia,12:_Central Europe,I,GWP_100_CH4,Packaging,32.4769612256053,30.4389299629639,13.4550482840739,-2.88130609799252,-0.349003164708815,-0.864739790167844,9.70835053484401,6.69197454290517,12.962054713786,10.2701432623342,-5.26463261093921,-9.58498696585581,-19.4890400997496,-67.4798954621838,-43.8928734529827,-54.3177062705156,-31.575491649562,-35.0208665104414,-67.5213393179174,-38.7812602008083,-21.1843905584941,5.11965723090488,10.2134164532459,14.2867274005276,19.3656360225929,17.3532220755369
SVN,Slovenia,12:_Central Europe,I,GWP_100_CH4,Packaging,20.2072687087714,19.3576119748171,18.3721446223822,16.7786267125068,21.6578096236089,18.2599875724798,40.3692639419665,44.1638438983998,35.6520249476835,41.7773553232174,50.850918838434,53.4904583659221,69.0710765652985,72.8584838466752,77.0636018937096,80.6009440169666,85.6900761062442,96.8154133458922,88.4536092940275,69.4744464969821,72.290315906395,72.5307403127891,69.5044535659953,69.8614729739775,74.9657143565669,79.3201340664645
SWE,Sweden,11:_OECD_Europe,I,GWP_100_CH4,Packaging,48.6630698712687,48.4872455768406,47.1061292440584,48.9001440936843,46.3757059046039,51.7556527089845,50.0928215794296,52.2164380792329,52.0308392544445,45.0976656925391,59.3903492023022,58.220046141825,53.3178633630001,55.2098804763965,54.7745240404535,56.5498805627234,62.7682421198801,63.5485186279436,61.9100757720711,61.9145916561047,68.0171455015556,67.7542965149792,69.3420225019063,65.9867113008192,68.6979709406404,75.2131706348663
SWZ,Swaziland,10:_Southern_Africa,D,GWP_100_CH4,Packaging,1.7803644319912,1.31408275717138,1.00411981308539,0.513153542362986,1.90588388215729,1.78093105697628,1.42568965093027,3.0347539355723,3.3684236342909,4.64012876645673,4.71687460205959,5.42498633813199,6.04653978626208,4.77454631119332,5.57934462461384,5.13354917507649,5.55763450401293,6.00340598099752,6.75794089086568,6.38452318059512,5.89920736566625,3.06369709011101,2.50411971235807,1.46956249338277,1.53023006349542,1.41172209248499
SYC,Seychelles,09:_Eastern_Africa,D,GWP_100_CH4,Packaging,0.00243769028550389,0.00408150768838024,0.00523070414012618,0.00639517385345605,0.00756534132645984,0.00906785029453413,0.019015295010565,0.0674692220769503,0.0891479806951248,0.111455947290195,0.132516610006539,0.213618026054615,0.360975346576207,0.432574578941521,0.815738450124988,0.836245242627828,1.11053688691201,0.812171470232611,0.851539687944078,0.769976286540652,0.650147785647301,0.646570044949296,0.62955328296524,0.519744611560687,0.518626532710084,0.510805071138078
SYR,Syrian Arab Republic,17:_Middle_East,D,GWP_100_CH4,Packaging,195.650697279268,249.08564153717,269.415603149538,306.991623786602,371.323749786279,322.496469925066,301.994560343088,267.397688021841,224.662082113081,218.748177729485,213.790346180037,160.118360746384,117.215331688433,104.404512180782,94.3504457064755,91.9778264737757,83.3216137349976,75.2547974276418,66.549803510408,67.9752195028004,71.9922902568389,60.5449969588202,51.4743773614451,31.360212042875,28.3611642900173,36.1276571947484
TCA,Turks and Caicos Islands,04:_Rest Central America,D,GWP_100_CH4,Packaging,0.000209090459515518,0.00024354439446235,0.000486761278273351,0.000499621946203686,0.000631054294327218,0.000540758855477718,0.000642017060608329,0.000594457388560738,0.000557457963501105,0.000729565627117514,0.00136802147643053,0.00107207307473249,0.000898762299602087,0.000955515694033439,0.00118985997896685,0.000515642447149079,0.00045277564415786,0.00259525852002227,0.00502606736582038,0.00328652640985945,0.00213021685771135,0.00676093682096609,0.00401750859397762,0.00247602248352101,0.00217470908902218,0.00212188388161361
TCD,Chad,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.00227157246950747,0.00315511562079198,0.00395924926659399,0.00203119593664465,0.298514473703539,0.295586823832501,0.335633121407399,0.130018108443241,0.115732394569468,0.0898360655753505,0.0577374137685585,0.201126230125355,0.678080133001478,4.29035255362377,5.3179539498726,5.54716520927826,6.04119476150443,7.14025670767465,4.39915789414006,3.3230657746965,3.20834903999764,3.30071615352895,3.21505221443199,4.44658480498968,5.41289921126066,7.63227382133885
TGO,Togo,08:_Western_Africa,D,GWP_100_CH4,Packaging,0.0143303944554309,0.0319665216781833,0.00742000921449569,0.00205302342592267,0.0580862469065106,0.0337659754640846,0.0791793327947391,0.0504112783069086,0.0607284791368401,0.15031413070671,0.135711251055549,0.111642086205145,0.100151536239029,0.0791879565490282,0.0872189794181867,0.0480964030738308,0.0407251383995421,0.0258030377866489,0.0312050479086426,0.0737070492047588,0.114283902006511,0.0985916963884073,0.0712102928296581,0.0743573523247679,0.0789744757991734,0.083677738935173
THA,Thailand,21:_Southeastern Asia,D,GWP_100_CH4,Packaging,48.2514431135545,58.0316513761767,60.7735317424756,79.7480569392557,109.31506425902,113.388557881331,136.326394236852,125.39023412044,96.8169674694598,110.345546290511,102.766754837673,113.214616597462,123.344050252818,121.085970047576,133.71092799334,328.11580279528,356.160625014066,247.368789487963,436.322350177776,380.095614220321,400.076224702302,394.636505358142,418.389994115543,419.872312946494,417.088329214493,428.992118336091
TJK,Tajikistan,15:_Asia-Stan,I,GWP_100_CH4,Packaging,18.435497070604,12.615048732795,9.86381199804854,8.62212143544022,4.87240686286274,3.20248781106534,2.96625789645399,2.90059820332942,2.94847525374583,3.98316214638205,4.25200307861981,4.47244112861199,3.84261296066081,3.96303347964285,5.89720866008375,6.43368494633567,6.56371434839077,9.68099250295689,11.3562225482553,10.8927262026908,11.1560541998339,13.3050310993475,20.8781688865172,24.3376793611217,41.7814813036908,49.306158801307
TKM,Turkmenistan,15:_Asia-Stan,I,GWP_100_CH4,Packaging,617.003515339615,577.901525932291,381.493315459103,457.705853721869,301.530070495337,293.648721849383,317.732056943951,168.375180210035,166.402339205706,323.925607424721,567.182417072909,631.928716357295,538.132752343931,565.288343766932,587.682539661464,665.271127012014,661.902730946858,652.687256941631,726.078615468674,409.884421239385,488.218129569214,656.62832188196,698.531901012082,763.919902738691,731.035290505523,744.500259444364
TLS,Timor-Leste,21:_Southeastern Asia,D,GWP_100_CH4,Packaging,0.0409674147904975,0.0477921599553047,0.0512249816595262,0.0500121644577431,0.0421627092289289,0.0405017175265657,0.0430577176428566,0.0320714261500761,2.27891364521279,5.56470993579995,7.26237792368623,3.95613716546137,3.25147325531015,2.90743487473661,10.6129405087251,4.89019590135579,4.77771875393195,3.46879412313779,2.76495220906636,2.74309269092897,2.24538870377948,2.88753012710598,2.8105414376707,2.69501024245703,1.94308105436222,1.64383375641049
TON,Tonga,24:_Oceania,D,GWP_100_CH4,Packaging,0.0205831071709165,0.0239954465406094,0.0257246320353955,0.0251254678020715,0.0422800555536132,0.0406428973556476,0.0432088571219734,0.0322422053246368,0.0330105478155392,0.0373985774897996,0.0298890801666637,0.0274675813316881,0.0196178355520032,0.0170003784841799,0.0269914054800871,0.0428716826986812,0.0404113429074474,0.0487376498063287,0.0540645340004949,0.0390148633181867,0.0380394328479289,0.0360694104744981,0.0332575803368678,0.019907182827152,0.0211061496505026,0.0253157649566579
TTO,Trinidad and Tobago,04:_Rest Central America,D,GWP_100_CH4,Packaging,82.2080651861689,89.616749155847,95.2199064553163,87.8075242391398,90.4747321003542,69.6522758074457,100.849984817941,88.480120521646,82.722834813335,97.2865161101998,131.993450249327,134.822211219944,152.807796533678,198.733639312356,240.037776466972,232.503433159418,292.419590730912,228.573696403307,181.871346580586,190.645288079118,241.453127997572,255.999783687099,197.930723161154,221.102227367993,193.465014907192,189.769355571805
TUN,Tunisia,07:_Northern_Africa,D,GWP_100_CH4,Packaging,1.19187498408693,1.34979781282286,1.88022420148341,2.07683259979253,1.8768088972035,1.77286183491982,2.19024117008107,2.33279431143688,1.58137877686399,1.42341466976656,2.05481326914879,1.96036627863856,1.92371828263319,1.16905891383595,82.6528980020264,100.761994732556,147.242210524265,147.724085238928,179.381795724472,198.563348292911,206.80624067196,214.23381016842,241.902720504081,245.237475615292,263.638954503652,227.357980177308
TUR,Turkey,13:_Turkey,I,GWP_100_CH4,Packaging,94.5510800202143,95.5055826429632,97.7296487404023,89.4743649604282,119.795275062863,96.8807312645432,97.786144741798,123.214219539223,97.459033628792,132.724013554564,88.7247833368543,78.451986922569,70.5101103349598,90.6741024038608,127.862317895867,116.814044999658,126.74908922766,134.763832300413,162.956370828285,171.887025935614,170.679733101461,147.560645959668,143.162674514869,241.47255924214,238.229487837061,219.839859307594
TWN,Taiwan_Province of China,20:_China +,D,GWP_100_CH4,Packaging,56.4565062939962,53.3341390714664,45.1702103275626,44.0070426835681,43.0661074961897,40.6144892245862,35.8308200730363,33.7604976013608,30.6836154992695,27.4141119647672,25.3140626109145,22.2308668151785,24.8864290019203,24.6683855119999,25.6391796146753,24.6814368462946,23.3174542139277,22.2509720558075,20.8462114066349,18.8236809772362,20.3670295488064,24.3397345576717,23.9345859492046,24.4684340382859,22.0422415282992,21.31419001142
TZA,Tanzania_United Republic of,10:_Southern_Africa,D,GWP_100_CH4,Packaging,0.233056969807843,0.236302927517917,0.23205004499731,0.0589670467484157,0.0666125076763631,0.0729394034670554,0.0698320762810991,0.0552734466432956,0.0632820927962934,0.0747461913529391,0.0292590011068566,0.0279197874831556,0.600078520341032,1.20152728252361,3.93081641097406,9.84578713395988,9.48560224048564,9.29694339856504,9.28603543780856,6.68866469304966,9.69083418088753,9.51703821139011,9.31305634634571,8.57990206800922,8.79951891694911,9.29151348773023
UGA,Uganda,09:_Eastern_Africa,D,GWP_100_CH4,Packaging,0.00681444135844575,0.0095160328340363,0.0122346113912034,0.0144123913191156,0.0167013227053282,0.0196459344380506,0.0396376452097358,0.12816565213066,0.191342365098106,0.239069423635426,0.304832536472444,0.54304979538117,0.61205130973912,0.804781341384272,1.50953222832816,1.61842055106139,1.89047514514738,1.82745349454424,2.91177629470946,2.23185655267043,2.20125184010715,2.15253082658864,2.09606880745252,2.18875943102303,2.22616106222345,2.15213886838634
UKR,Ukraine,14:_Ukraine +,I,GWP_100_CH4,Packaging,85.3304026755966,79.2561507538981,87.3529103356261,75.8532508938632,68.8801565575147,74.7727130132475,77.8550603082765,78.8756165517591,75.1512156897263,74.073911377737,94.6197354647718,100.109247367518,94.2557914492964,88.5515187106875,483.898950025958,515.664081948539,533.946943957978,605.573276028597,644.311673090497,399.004574273178,464.201374008121,559.482058485965,409.675442491188,448.733476888764,376.363163869375,350.912878072686
URY,Uruguay,06:_Rest South America,D,GWP_100_CH4,Packaging,0.296818574862517,0.338206459518965,0.339927299525888,0.240379128484112,0.183255194152933,0.34167928256606,0.397536059965518,0.467280157752778,0.573397440493417,0.716106903787923,0.875609392709398,1.00327028558359,1.20366503088808,1.47192916631747,1.77121093792742,1.99163547612562,2.01754041558883,2.40683857363077,7.05420285534178,7.83870973665087,9.09864658890596,8.83816118117713,8.67153072233824,10.1297582769603,12.2321122648113,16.4438232707786
USA,United States,02:_USA,I,GWP_100_CH4,Packaging,2088.59113350245,1865.62886446052,1465.05258231376,1424.84222266584,1373.16903634308,4358.01979758388,4194.38021532562,4269.37104411257,4168.9394699776,4539.18133012371,5027.78306034238,4762.96290270707,4211.43684342573,4107.68790611885,3979.38657197538,3526.09697746287,3624.43076738165,3413.34715356291,3221.94537304466,2781.13831737202,3063.81473904614,3334.20489014027,3102.25981916598,2994.72773839838,3123.82111882742,3179.18969239445
UZB,Uzbekistan,15:_Asia-Stan,I,GWP_100_CH4,Packaging,332.519474951313,322.903072364269,333.636886901266,347.374830522203,360.564987518034,372.060066804893,387.62391998654,396.619090734014,426.429220516909,594.955007627296,634.698519041356,649.303152659474,492.0684973678,458.182691137092,493.591837918849,534.402891041419,535.243638144123,545.189761926325,603.72356654942,518.993966511562,530.159237798298,561.887230606701,556.453073679023,529.920575724364,530.448795466131,528.092904167796
VCT,Saint Vincent and the Grenadines,04:_Rest Central America,D,GWP_100_CH4,Packaging,0.00139915869469474,0.0016282550861483,0.00287746471356524,0.00292009633572734,0.00705582305605247,0.00613807896764459,0.00719750948876467,0.00667673319907796,0.00577848477315572,0.00760130662837606,0.00754739608455544,0.00602016033308455,0.00749400871897312,0.00791738508850554,0.00976095478991917,0.00932458520562548,0.00854762100189688,0.00838436175608414,0.00815868122598198,0.00551464851069014,0.0027252884532561,0.00740470747808709,0.00495463967958679,0.00340494093370094,0.00319942513091874,0.00325278426360033
VEN,Venezuela,06:_Rest South America,D,GWP_100_CH4,Packaging,687.99635214479,799.960004860322,880.335828761608,1223.58657974158,1260.5332257411,1215.24922095085,1305.49405608781,1652.03535897419,2197.17161784696,1973.20988656697,2140.94290579876,2039.22044662476,2067.68842233883,1899.68957786341,1859.22420561998,1912.33618878739,1853.58138324624,1554.52642516432,1388.35497323791,1014.36187045895,900.340278082221,725.442272475442,521.039537668899,449.59920460493,492.217519740814,417.311542066553
VGB,Virgin Islands_British,04:_Rest Central America,D,GWP_100_CH4,Packaging,0.000852736655822016,0.00100964681882523,0.00202862321840954,0.00205273227115618,0.00258481284052204,0.00223868290689047,0.00293959052398449,0.00272948293471558,0.00233586825619845,0.00300572276063597,0.00301090707584912,0.0023781028072346,0.00200395358088682,0.0021301613294994,0.00314585493447323,0.00302621886188748,0.00276793513505638,0.0054246919463432,0.00528736323554486,0.00353634008669418,0.00167442129907589,0.00481080303451808,0.00316443206552845,0.00213772574930974,0.00247229773885852,0.00248517072049897
VNM,Viet Nam,21:_Southeastern Asia,D,GWP_100_CH4,Packaging,0.411350241764581,0.63351578020858,0.757076696079278,0.858808815408772,8.15289061975413,8.75571002964923,553.665572628889,638.980182669879,655.073398904236,543.533954239571,651.911147684072,727.211526579093,890.060985189827,935.284221738877,1528.36348858562,1886.96101570933,2133.8897838775,2337.22468136167,2188.67042853231,2458.91821332498,2526.74130945064,2539.75845345546,2226.63603724298,2132.89572984688,2056.3503587894,1663.81071069497
VUT,Vanuatu,24:_Oceania,D,GWP_100_CH4,Packaging,0.0411691616919564,0.0239982108355511,0.0236009635310275,0.0229848178272696,0.019448653210659,0.0186971613466356,0.0198228593706661,0.0148321720764198,0.0151948460721212,0.0172005587294174,0.014944559790293,0.013733830019392,0.0098089371330887,0.00850020667176688,0.01349566495126,0.0214358802886166,0.0202056709914246,0.0324918043686855,0.0180215492689141,0.0260098429577134,0.0253596824929547,0.0240462780206648,0.0221717295178938,0.0132714590561831,0.0138009750302662,0.0164813914851719
WSM,Samoa,24:_Oceania,D,GWP_100_CH4,Packaging,0.0411753356634451,0.047999770187879,0.0514585614403407,0.0502599775956134,0.0422895037925095,0.040657420791868,0.0432230923836861,0.032252570712732,0.0330204403487262,0.0373985774897996,0.0298890801666637,0.0274675813316881,0.0196178355520032,0.0170003784841799,0.0269914054800871,0.0428716826986812,0.0404113429074474,0.0324918043686855,0.036043096617081,0.0260098429577134,0.0253596824929548,0.0240462780206648,0.0221717295178938,0.019907182827152,0.0239174119761583,0.0273581206719634
YEM,Yemen,17:_Middle_East,D,GWP_100_CH4,Packaging,7.93963697380512,8.78016032478559,7.46441223967704,8.52495008340281,67.3000983402603,49.8984109258566,51.5165221084098,53.3893473338719,45.9453291395768,54.6563353402929,64.1527710978586,58.9364662123344,55.6428857662344,65.4193193087637,66.5995618233842,86.1363749973864,117.558270210672,153.54489685692,126.107153369138,140.218011596714,178.156068973335,175.068345970623,150.23890475605,182.662276527243,177.141578561483,75.9019616547435
ZAF,South Africa,10:_Southern_Africa,D,GWP_100_CH4,Packaging,510.696608691901,446.953421653562,368.262488073554,283.74028710545,337.49085066955,333.557641201949,250.198682446629,218.468954177392,257.600725199626,291.590892877304,274.962384321708,212.026591094212,229.498116619166,293.020083263845,327.073074605031,339.8811509306,171.650370906859,236.615116678586,143.207721424192,456.118228461338,458.866709812273,417.893930651329,353.157165961947,355.099124546385,291.577508116496,361.497253187537
ZMB,Zambia,10:_Southern_Africa,D,GWP_100_CH4,Packaging,0.549897475239931,0.50205162720535,0.6135879298878,0.508917649437666,0.302965919471191,0.297093804995019,0.223925487737202,0.21228187330394,0.351589713859325,0.291557970496676,0.271166617295835,0.29356012168277,0.314941907844614,0.332138342706471,0.201442641347969,0.238168736711425,0.134371342367524,0.0638714177031848,0.0513375232165779,0.0623849998454813,0.048648602166671,0.0403340605297821,0.202757137558619,0.228572109453115,0.238239553839973,0.246262868457383
ZWE,Zimbabwe,10:_Southern_Africa,D,GWP_100_CH4,Packaging,1.78500097514365,1.4105554601052,1.37757663968969,0.548144197062637,0.878371253849203,1.2918500760666,1.29250373132294,1.03628379435165,1.47008141721341,12.5161761246149,13.5167321278173,8.87282352980442,7.48085161132675,7.81004482135168,3.78329649147681,4.80907479370271,10.4647133983254,11.9999093423028,9.43866332502581,1.54941832620271,3.60916054297646,7.58354454315134,6.41016849737524,7.12257436812389,13.0869451845854,9.60907195626655
ABW,Aruba,04:_Rest Central America,D,GWP_100_CH4,Processing,0.00976487921757968,0.0115011827979822,0.027050848450356,0.0322527964521682,0.0342232524538747,0.0365683036289991,0.0281441493574863,0.0445696511690747,0.0369337329276815,0.0462231780606283,0.0442742101423059,0.0347503276662681,0.0293516756800718,0.0315511114881546,0.0367511025646425,0.0349848237709149,0.0303893271958245,0.02541036686511,0.0262201738119716,0.018221343328516,0.00833079150879985,0.0200936411733579,0.0152198297769021,0.0111553055107091,0.0102118578089069,0.00978899165459101
AFG,Afghanistan,18:_India +,D,GWP_100_CH4,Processing,24.047140329251,24.1123815821009,23.6041630842889,24.4154883345165,25.8222279756484,26.7377255166712,28.6401620731245,30.9671808588015,33.2424314466696,32.7484881379616,28.9819626904061,25.1779388175268,26.6211577501259,26.119600139431,28.3793231031947,28.7861736950074,26.1872104113126,34.2079895179691,39.5292690213169,42.863838068061,60.3672421978476,70.4534754605707,84.348200658748,93.3683679815677,106.946252124827,122.632684986277
AGO,Angola,10:_Southern_Africa,D,GWP_100_CH4,Processing,436.456546225861,427.145508710921,497.015720542471,489.613955591522,426.37556433331,483.057543775405,562.633536159548,580.364672513898,550.324355722721,511.341163743004,418.344105412965,368.637470297727,344.252776209463,325.222777532682,4298.42142754354,4141.99424410049,249.335758542879,224.268004834128,243.257589511866,221.823151975617,264.621187528197,231.706923609194,270.185454153848,262.795468929056,273.457991693602,297.090670200792
AIA,Anguilla,04:_Rest Central America,D,GWP_100_CH4,Processing,0.000001496476736832,0.000001549369274292,0.00000165842809076,0.0000016985103431884,0.0000017366752391912,0.0000017336314130688,0.0000018946726005536,0.0000017543850396408,0.000002284893466744,0.000001969009844256,0.0000034617405606,0.00000464399627384,0.000004912431472872,0.000005292544715528,0.000005123165467896,0.0000050592544044,0.000005069811329856,0.000005205534353432,0.00000536309473014,0.00000527329191312,0.00000571119798354,0.000006126376364136,0.000006056503962264,0.000006190635792432,0.000006008413044088,0.000006031962540016
ALB,Albania,12:_Central Europe,I,GWP_100_CH4,Processing,113.856108149093,86.5023446986369,75.9800236335447,70.9445678179512,72.024591478691,58.1045479696966,56.3458108984748,54.7647070232514,54.4612749079359,54.9200975769916,49.0165386927271,48.2302718403485,49.9762606099232,53.706445063275,57.9197478749478,56.4717805697677,57.0159821816162,59.4791480580061,56.6123641526306,55.978196923209,57.8934302303773,58.6081404941573,59.3293587656688,55.8121326721461,72.9966663475394,65.6720303029413
ANT,Netherlands Antilles,04:_Rest Central America,D,GWP_100_CH4,Processing,0.274973230825085,0.249981114915022,0.487478355297334,0.536494539675764,0.58943056657686,0.573353847429523,0.612482790737049,0.628271245193166,0.533826009960619,0.620141197389576,0.598900842440158,0.462596031308289,0.387458421855618,0.394421829907186,0.426752018592301,0.429368382205114,0.376590434604773,0.37938146953168,0.427193066428875,0.313422409129316,0.190868318518047,0.394020887344991,0.232965308098776,0.176170555123619,0.166073909906477,0.163985150634356
ARE,United Arab Emirates,17:_Middle_East,D,GWP_100_CH4,Processing,318.158020359908,346.149686892106,378.355767813003,405.810462300534,441.119024466585,468.150321792764,502.141932261795,506.297061025063,457.098860765605,446.952499929335,453.177332909961,467.202292812487,464.914550884071,477.12233711218,474.661582621154,521.47630691901,524.443703887866,489.28362430269,522.580524261126,558.578661858486,590.474891551355,636.518425126295,898.2707679742,984.0238153277,1058.1698535461,1095.36318594583
ARG,Argentina,06:_Rest South America,D,GWP_100_CH4,Processing,1628.19628233557,1552.33973574764,1589.20669955408,1728.44899431815,1830.33995451414,1690.04250255425,1766.13751012558,1790.30797296969,1708.45085182973,1713.24334540831,1854.64218144748,1896.35363260699,1971.82009297642,2031.87741561221,2085.4651699337,2123.54425372448,2331.07391357609,2098.66308812213,2235.49515998725,2253.54610105728,2099.25438969327,2111.48288839096,2070.15971120752,2155.94552139361,2368.35679643229,2519.96003122845
