Data;DsGlogWiStwo;DsJaworMOB;DsJelGorSoko;DsLegAlRzecz;DsOsieczow21;DsPolKasztan;DsWalbrzWyso;DsWrocWybCon;KpBrodKochan;KpBydWarszaw;KpCiechTezni;KpGrudSienki;KpInowSolank;KpKoniczynka;KpNaklSkargi;KpToruDziewu;KpWieniZdroj;KpWloclGniaz;KpZielBoryTu;LbLubSliwins;LbZamoHrubie;LdLodzLegion;LdLodzRudzka;LdPabiKilins;LdPioTrKraPr;LdSieraPolna;LdSkierKonop;LuGorzKosGdy;LuGorzPilsud;LuNowaSolMOB;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKrakBujaka;MpKrakBulwar;MpKrakWadow;MpNoSaczNadb;MpTarBitStud;MpTrzebOsZWM;MzGutyDuCzer;MzKonJezMos;MzMinMazKaziMOB;MzOstroHalle;MzOtwoBrzozo;MzPlocKroJad;MzRad25Czerw;MzSiedKonars;MzWarAKrzywo;MzWarAlNiepo;MzWarBajkowa;MzWarChrosci;OpNysaRodzie;OpOpoleOsAKr;PdBialWaszyn;PdSuwPulaskp;PkJasloSikor;PkKrosKletow;PkPrzemGrunw;PkRymZdrPark;PkRzeszRejta;PkStWolWoPol;PmGdyJozBema;PmKosTargo12;PmMalMicki15;SkKielTargow;SkStaraZlota;SlBielKossak;SlCzestoBacz;SlGodGliniki;SlKatoKossut;SlPszczBoged;SlRybniBorki;SlTarnoLitew;WmElbBazynsk;WmNiTraugutt;WmOlsPuszkin;WmPuszczaBor;WpKaliSawick;WpNoTomSzpit;WpOstWieWyso;WpPilaKusoci;WpPoznChwial;ZpKoszSpasow;ZpSzczAndr01;ZpSzczec1Maj
01.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
02.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
03.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
04.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;1,4902;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
05.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;1,4902;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
06.01.2019 00:00;9,525;3,515;0,335;1,97;0,115;5,412;1,633;1,485;1,8444;0,675528;0,855307;0,5897;0,26;0,26;0,922757;0,26;0,26;0,26;0,1;0,5;0,5;0,57;0,79;;0,84;1,04;0,68;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;1,4902;0,5;0,5;0,5;0,5;0,5;0,5;;;;0,4545;1,322;0,13;0,13;0,5;1,04;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,27;0,425;0,5;3,29;0,5;1,48;0,5;2,07;1,26;0,135;0,135;0,1;0,09;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
07.01.2019 00:00;5,572;3,559;0,335;16,484;0,266;2,151;1,918;;1,2096;1,186073;0,75682;1,512;1,0316;1,0979;2,446826;1,1051;0,62167;0,880688;0,470207;0,5;0,5;1,15;1,99;;1,94;1,74;1,34;0,6;0,6;0,6;0,6;2,98;0,6;0,6;1,01717;1,06;;1,41;1,42;2,53;0,5;0,5;0,5;0,5;0,5;1,0421;1,0059;0,5;0,5;;0,5;0,5;1,037;1,413;0,13;0,311288;1,59;1,28;1,14;0,5;0,5;1,14;0,5;1,09;1,06;1,58;1,01;1,16;2,02;0,5;1,57;3,37;2,08;2,53;0,64;0,6;0,71;0,34;1,94;0,5;1,8;1,06;1,21;;;
08.01.2019 00:00;5,572;3,559;0,335;16,484;0,266;2,151;1,918;1,849;1,2096;1,186073;0,75682;1,512;1,0316;1,0979;2,446826;1,1051;0,62167;0,880688;0,470207;0,5;0,5;1,15;1,99;;1,94;1,74;1,34;0,6;0,6;0,6;0,6;2,98;0,6;0,6;1,01717;1,06;;1,41;1,42;2,53;0,5;0,5;0,5;0,5;0,5;;1,0059;0,5;0,5;0,5;0,5;0,5;1,037;1,413;0,13;0,311288;1,59;1,28;1,14;0,5;0,5;1,14;0,5;1,09;1,06;1,58;1,01;1,16;2,02;0,5;1,57;3,37;2,08;2,53;0,64;0,6;0,71;0,34;1,94;0,5;1,8;1,06;1,21;;;
09.01.2019 00:00;5,572;3,559;0,335;16,484;0,266;2,151;1,918;1,849;1,2096;1,186073;0,75682;1,512;1,0316;1,0979;2,446826;1,1051;0,62167;0,880688;0,470207;0,5;0,5;1,15;1,99;;1,94;1,74;1,34;0,6;0,6;0,6;0,6;2,98;0,6;0,6;1,01717;1,06;;1,41;1,42;2,53;0,5;0,5;0,5;0,5;0,5;1,0421;1,0059;0,5;0,5;0,5;0,5;0,5;1,037;1,413;0,13;0,311288;1,59;1,28;1,14;0,5;0,5;1,14;0,5;1,09;1,06;1,58;1,01;1,16;2,02;0,5;1,57;3,37;2,08;2,53;0,64;0,6;0,71;0,34;1,94;0,5;1,8;1,06;1,21;;;
10.01.2019 00:00;5,572;3,559;0,335;16,484;0,266;2,151;1,918;1,849;1,2096;1,186073;0,75682;1,512;1,0316;1,0979;2,446826;1,1051;0,62167;0,880688;0,470207;0,5;0,5;1,15;1,99;;1,94;1,74;1,34;0,6;0,6;0,6;0,6;2,98;0,6;0,6;1,01717;1,06;;1,41;1,42;2,53;0,5;0,5;0,5;0,5;0,5;1,0421;1,0059;0,5;0,5;0,5;0,5;0,5;1,037;1,413;0,13;0,311288;1,59;1,28;1,14;0,5;0,5;1,14;0,5;1,09;1,06;1,58;1,01;1,16;2,02;0,5;1,57;3,37;2,08;2,53;0,64;0,6;0,71;0,34;1,94;0,5;1,8;1,06;1,21;;;
