"spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"spotify:track:07BmM24UshepfB2PeBxu7Y","contemporary jazz","0.349","0.123","1","-14.247","1","0.0333","0.968","0.375","0.275","0.138","45.646","audio_features","07BmM24UshepfB2PeBxu7Y","spotify:track:07BmM24UshepfB2PeBxu7Y","https://api.spotify.com/v1/tracks/07BmM24UshepfB2PeBxu7Y","https://api.spotify.com/v1/audio-analysis/07BmM24UshepfB2PeBxu7Y","292413","4"
"spotify:track:7oCQ6pWyZYnQAXIMHBGQxb","polish alternative, polish indie, polish pop","0.607","0.462","2","-7.659","1","0.0279","0.0912","0","0.154","0.168","120.04","audio_features","7oCQ6pWyZYnQAXIMHBGQxb","spotify:track:7oCQ6pWyZYnQAXIMHBGQxb","https://api.spotify.com/v1/tracks/7oCQ6pWyZYnQAXIMHBGQxb","https://api.spotify.com/v1/audio-analysis/7oCQ6pWyZYnQAXIMHBGQxb","251227","4"
"spotify:track:3m2DGViD2ZddCXfA8ndhLw","funk","0.791","0.578","4","-5.889","1","0.0287","0.519","0.00387","0.0933","0.962","97.299","audio_features","3m2DGViD2ZddCXfA8ndhLw","spotify:track:3m2DGViD2ZddCXfA8ndhLw","https://api.spotify.com/v1/tracks/3m2DGViD2ZddCXfA8ndhLw","https://api.spotify.com/v1/audio-analysis/3m2DGViD2ZddCXfA8ndhLw","215358","4"
"spotify:track:09XyQXLiimTDTBt2KWD1sk","baroque, classical, early music, german baroque","0.178","0.0817","10","-19.69","1","0.0485","0.992","0.000215","0.345","0.314","84.749","audio_features","09XyQXLiimTDTBt2KWD1sk","spotify:track:09XyQXLiimTDTBt2KWD1sk","https://api.spotify.com/v1/tracks/09XyQXLiimTDTBt2KWD1sk","https://api.spotify.com/v1/audio-analysis/09XyQXLiimTDTBt2KWD1sk","211240","4"
"spotify:track:2ZSim3UYYhGBNcETgYMxn4","polish alternative, polish indie, polish pop","0.662","0.519","9","-8.167","0","0.0299","0.0302","8.99e-06","0.0951","0.367","100.023","audio_features","2ZSim3UYYhGBNcETgYMxn4","spotify:track:2ZSim3UYYhGBNcETgYMxn4","https://api.spotify.com/v1/tracks/2ZSim3UYYhGBNcETgYMxn4","https://api.spotify.com/v1/audio-analysis/2ZSim3UYYhGBNcETgYMxn4","247987","4"
"spotify:track:30R6QDPKZCeepPj3hSmQvp","new romantic, new wave, new wave pop, permanent wave, synthpop","0.646","0.636","9","-15.222","1","0.0421","0.00761","0.165","0.055","0.852","126.629","audio_features","30R6QDPKZCeepPj3hSmQvp","spotify:track:30R6QDPKZCeepPj3hSmQvp","https://api.spotify.com/v1/tracks/30R6QDPKZCeepPj3hSmQvp","https://api.spotify.com/v1/audio-analysis/30R6QDPKZCeepPj3hSmQvp","225827","4"
"spotify:track:11ca4Q9X5U3nJsUlPCk5Sp","hollywood, movie tunes","0.202","0.0746","2","-33.229","1","0.0437","0.921","0.943","0.0641","0.0336","64.216","audio_features","11ca4Q9X5U3nJsUlPCk5Sp","spotify:track:11ca4Q9X5U3nJsUlPCk5Sp","https://api.spotify.com/v1/tracks/11ca4Q9X5U3nJsUlPCk5Sp","https://api.spotify.com/v1/audio-analysis/11ca4Q9X5U3nJsUlPCk5Sp","82467","4"
"spotify:track:7rhjTMX0R77PjwuJrl7rE8","classical, italian opera, italian romanticism","0.359","0.193","10","-16.14","1","0.0463","0.975","1.14e-06","0.0706","0.257","115.175","audio_features","7rhjTMX0R77PjwuJrl7rE8","spotify:track:7rhjTMX0R77PjwuJrl7rE8","https://api.spotify.com/v1/tracks/7rhjTMX0R77PjwuJrl7rE8","https://api.spotify.com/v1/audio-analysis/7rhjTMX0R77PjwuJrl7rE8","464720","4"
"spotify:track:13Us7ySlRQ7Q4Q7Wj12GTK","","0.624","0.276","1","-12.275","1","0.0288","0.899","0.0498","0.0875","0.458","109.827","audio_features","13Us7ySlRQ7Q4Q7Wj12GTK","spotify:track:13Us7ySlRQ7Q4Q7Wj12GTK","https://api.spotify.com/v1/tracks/13Us7ySlRQ7Q4Q7Wj12GTK","https://api.spotify.com/v1/audio-analysis/13Us7ySlRQ7Q4Q7Wj12GTK","182489","4"
"spotify:track:4n3W8dmBDyautHaf27mmFg","classical, early romantic era, italian romanticism","0.494","0.211","11","-18.544","0","0.0539","0.853","0.538","0.161","0.544","140.429","audio_features","4n3W8dmBDyautHaf27mmFg","spotify:track:4n3W8dmBDyautHaf27mmFg","https://api.spotify.com/v1/tracks/4n3W8dmBDyautHaf27mmFg","https://api.spotify.com/v1/audio-analysis/4n3W8dmBDyautHaf27mmFg","423573","3"
