płeć;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
mezczyzni;9.5;9.1;9.6;9.8;8.6;7.4;6.2;5;3.9;3.1;3.1
kobiety;10.3;10.;11.2;11.4;9.9;8;6.4;5.1;4;3.8;3.4
