NR;WOJEWÓDZTWO;KOD STARY;KOD NOWY;NAZWA STACJI;MIEJSCOWOSC;ADRES
222;ŒL¥SKIE;SlTarnoTarn_litew;SlTarnoLitew;Tarnowskie Góry_litewska-WIOŒ;Tarnowskie Góry;ul. Litewska
223;ŒL¥SKIE;SlTychyTych_tolst;SlTychyTolst;Tychy_to³stoja-WIOŒ;Tychy;ul. To³stoja 1
224;ŒL¥SKIE;SlUstroCies_sana7;SlUstronSana;Ustroñ_sanatoryjna 7;Ustroñ;ul. Sanatoryjna 7
225;ŒL¥SKIE;SlWodziWodz_galcz;SlWodzGalczy;Wodzis³aw_Ga³czyñskiego-WIOŒ;Wodzis³aw Œl¹ski;ul. Ga³czyñskiego 1
226;ŒL¥SKIE;SlZabrzZabr_sklod;SlZabSkloCur;Zabrze_sk³od-WIOŒ;Zabrze;ul. M. Sk³odowskiej-Curie 34
227;ŒL¥SKIE;SlZawieZawi_zawie;SlZawSkloCur;Zawiercie_sk³od-curie- WIOŒ;Zawiercie;ul. Sk³odowskiej-Curie 16
228;ŒL¥SKIE;SlZlotyJano_lesni;SlZlotPotLes;Z³oty Potok gm. Janów (automat);Z³oty Potok;ul. Leœniczówka Kamienna Góra
229;ŒL¥SKIE;SlZoryzZory_sikor;SlZorySikors;¯ory_os.Sikorskiego-WIOŒ;¯ory;ul. Sikorskiego 52
230;ŒL¥SKIE;SlZywieZywi_koper;SlZywieKoper;¯ywiec_kopernika-WIOŒ;¯ywiec;ul. Kopernika 84
231;ŒL¥SKIE;SlZywieZywi_slowa;SlZywieSlowa;¯ywiec-s³owackiego-WIOŒ;¯ywiec;ul. S³owackiego 2
232;WARMIÑSKO-MAZURSKIE;WmElblagWIOS_Bazynsk;WmElbBazynsk;WIOŒ Elbl¹g ul. Ba¿yñskiego;Elbl¹g;ul. Ba¿yñskiego 6
233;WARMIÑSKO-MAZURSKIE;WmGoldapWIOS_Jacwies;WmGoldJacwie;WIOŒ Go³dap ul. Jaæwieska;Go³dap;ul. Jaæwieska 15
234;WARMIÑSKO-MAZURSKIE;WmIlawaAnd;WmIlawAnders;WIOŒ I³awa ul.Andersa;I³awa;Andersa 8a
235;WARMIÑSKO-MAZURSKIE;WmMragowWIOS_Parkowa;WmMragParkow;WIOŒ Mr¹gowo ul. Parkowa;Mr¹gowo;ul. Parkowa
236;WARMIÑSKO-MAZURSKIE;WmNidzicaWIOS_Traugut;WmNiTraugutt;WIOŒ Nidzica ul.Traugutta;Nidzica;ul. Traugutta
237;WARMIÑSKO-MAZURSKIE;WmOlsztyWIOS_Puszkin;WmOlsPuszkin;WIOŒ Olsztyn ul. Puszkina;Olsztyn;ul. Puszkina 16
238;WARMIÑSKO-MAZURSKIE;WmOstrodWIOS_Chrobre;WmOstrChrobr;WIOŒ Ostróda ul. Chrobrego;Ostróda;ul. Chrobrego 3
239;WARMIÑSKO-MAZURSKIE;WmPuszcz_IOS_Borecka;WmPuszczaBor;KMŒ Puszcza Borecka;;Diabla Góra
240;WIELKOPOLSKIE;WpWKP011/10;WpBoroDrapal;WKPBorowiec;Borówiec;ul. Drapa³ka 4
241;WIELKOPOLSKIE;WpGnieznoPM10/11;WpGniePaczko;Gniezno, ul. Paczkowskiego;Gniezno;ul. Paczkowskiego
242;WIELKOPOLSKIE;WpWKPKalisz007/10;WpKaliSawick;WKPKalisz;Kalisz;ul. Hanki Sawickiej
243;WIELKOPOLSKIE;WpKonin311009D009102;WpKoniWyszyn;Konin, ul. Wyszyñskiego 3a;Konin;ul. Wyszyñskiego 3
244;WIELKOPOLSKIE;WpLesznoPM10/11;WpLeszKiepur;WpLesznoPM10/11;Leszno;ul. Kiepury
245;WIELKOPOLSKIE;WpNowyTomyslPM10/11;WpNoTomSzpit;WpNowyTomyslPM10/11;Nowy Tomyœl;ul. Szpitalna
246;WIELKOPOLSKIE;WpOstrowWlkpPM10;WpOstWieWyso;Ostrow Wlkp., ul. Wysocka 57;Ostrów Wielkopolski;ul. Wysocka 57
247;WIELKOPOLSKIE;WpWKP004;WpPiaskiKrzy;WKPKrzyzowka;Krzy¿ówka;
248;WIELKOPOLSKIE;WpPila5710111;WpPilaKusoci;Pila, ul. Kusocinkiego;Pi³a;ul. Kusociñskiego
249;WIELKOPOLSKIE;WpPleszewPM10/14;WpPleszAlMic;WpPleszew;Pleszew;al. Mickiewicza
250;WIELKOPOLSKIE;WpPoznanPOSIRPM10/11;WpPoznChwial;WpPoznanPOSIRPM10/11;Poznañ;ul. Chwia³kowskiego
251;WIELKOPOLSKIE;WpWKP002;WpPoznDabrow;WKPPoznan 2;Poznañ;ul. D¹browskiego 169
252;WIELKOPOLSKIE;WpWKP001;WpPoznPolank;WKPPoznan1;Poznañ;ul. Polanki
253;WIELKOPOLSKIE;WpPoznanSzymanowskiego17;WpPoznSzyman;Poznan, ul. Szymanowskiego 17;Poznañ;ul. Szymanowskiego 17
254;WIELKOPOLSKIE;WpTarnowoPodgornePM10/10;WpTarPodZach;WpTarnowoPodgornePM10/10;Tarnowo Podgórne;ul. Zachodnia
255;WIELKOPOLSKIE;WpWagrowiecPM10/10;WpWagrowLipo;WpWagrowiecPM10/10;W¹growiec;
256;ZACHODNIOPOMORSKIE;ZpKoszalin005;ZpKoszArKraj;Koszalin_ArmiiKrajowej;Koszalin;ul. Armii Krajowej
257;ZACHODNIOPOMORSKIE;ZpKoszalin006;ZpKoszSpasow;Koszalin_Spasowskiego;Koszalin;ul. Spasowskiego 2f
258;ZACHODNIOPOMORSKIE;ZpMysMysliborz007;ZpMyslZaBram;Myœlibórz_ZaBramk¹;Myœlibórz;ul. Za Bramk¹ 8
259;ZACHODNIOPOMORSKIE;ZpSzczecin001;ZpSzczAndr01;Szczecin_Andrzejewskiego;Szczecin;ul. Andrzejewskiego 23
260;ZACHODNIOPOMORSKIE;ZpSzcSzczecinek008;ZpSzczec1Maj;Szczecinek_1Maja;Szczecinek;ul. 1 Maja 22
261;ZACHODNIOPOMORSKIE;ZpSzcSzczecinek010;ZpSzczecPrze;Szczecinek_Przemys³owa;Szczecinek;ul. Przemys³owa
262;ZACHODNIOPOMORSKIE;ZpSzczecin004;ZpSzczLacz04;Szczecin_£¹czna;Szczecin;ul. £¹czna
263;ZACHODNIOPOMORSKIE;ZpSzczecin002;ZpSzczPils02;Szczecin_Pi³sudskiego;Szczecin;ul. Pi³sudskiego 1
264;ZACHODNIOPOMORSKIE;ZpGryfWiduchowa003;ZpWiduBulRyb;Widuchowa;Widuchowa;ul. Bulwary Rybackie 1
