Województwo;Miejscowoœæ;Kod punktu pomiarowego;Nazwa punktu pomiarowego;Wspó³rz. pp WGS84 (d³. geogr.);Wspó³rz. pp WGS84 (szer. geogr.);Cel pomiaru;Data rozpoczêcia;Data zakoñczenia;Nazwa odcinka drogi;Czas odniesienia;Laeq po korekcie [dB]
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Dzieñ 16h;68,3
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Dzieñ 16h;69,9
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Dzieñ 16h;70
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Noc 8h;65,1
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Noc 8h;65,8
dolnoœl¹skie;Gaæ;D_02_000364_001;P_D_DK94_1;17,358425;50,889567;Pañstwowy monitoring œrodowiska, art. 26 Poœ;27.08.2020 06:00;30.08.2020 06:00;DK 94 - miejscowoœæ Gaæ;Noc 8h;66,5
dolnoœl¹skie;G³ogów;D_02_000403_001;PPH8;16,096464;51,673206;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);24.08.2020 22:00;25.08.2020 22:00;DK12 123+656;Dzieñ 16h;70,3
dolnoœl¹skie;G³ogów;D_02_000403_001;PPH8;16,096464;51,673206;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);24.08.2020 22:00;25.08.2020 22:00;DK12 123+656;Noc 8h;66
dolnoœl¹skie;Kamienna Góra;D_02_000005_002;Kamienna Góra, ul. Wa³brzyska ppk4;16,048333;50,783;Pañstwowy monitoring œrodowiska, art. 26 Poœ;07.09.2020 11:24;09.11.2020 19:21;Kamienna Góra, ul. Wa³brzyska 40;Dzieñ 16h;64,9
dolnoœl¹skie;Kamienna Góra;D_02_000005_002;Kamienna Góra, ul. Wa³brzyska ppk4;16,048333;50,783;Pañstwowy monitoring œrodowiska, art. 26 Poœ;17.09.2020 22:40;18.09.2020 00:57;Kamienna Góra, ul. Wa³brzyska 40;Noc 8h;54,2
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;57,8
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;58
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;61,3
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;62
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;62,4
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 12h;62,5
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;57,9
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;58,1
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;61
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;61,5
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;61,7
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;62,1
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Dzieñ 16h;63,2
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;52,2
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;52,7
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;53,1
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;53,9
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;55,1
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;55,8
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;55,9
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Noc 8h;56,8
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;58
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;58,3
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;58,5
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;58,6
