"";"godz";"count"
"1";"00";2136
"2";"01";727
"3";"02";107
"4";"03";17
"5";"04";61
"6";"05";6
"7";"06";98
"8";"07";194
"9";"08";301
"10";"09";414
"11";"10";850
"12";"11";934
"13";"12";874
"14";"13";1319
"15";"14";1294
"16";"15";1707
"17";"16";1981
"18";"17";2365
"19";"18";2853
"20";"19";3926
"21";"20";5294
"22";"21";5955
"23";"22";6921
"24";"23";3892
