,year,token,size
0,2012,berry,1
1,2012,bezdomny,1
2,2012,bieganie,2
3,2012,biegać,1
4,2012,black,1
5,2012,caloklawiaturowe,1
6,2012,chce,1
7,2012,chyba,1
8,2012,czarny,1
9,2012,czekam,2
10,2012,czenie,1
11,2012,czesc,1
12,2012,cześc,1
13,2012,dane,1
14,2012,dobre,1
15,2012,doczekac,1
16,2012,dostałen,1
17,2012,dotyk,2
18,2012,dotykowy,1
19,2012,dzejo,1
20,2012,facebooku,1
21,2012,fajne,1
22,2012,firma,1
23,2012,fruit,3
24,2012,gadac,1
25,2012,goscio,1
26,2012,gram,4
27,2012,grasz,1
28,2012,halo,2
29,2012,hate,1
30,2012,hodzi,1
31,2012,html,1
32,2012,http,1
33,2012,innego,1
34,2012,jaka,1
35,2012,jakies,1
36,2012,jedyny,1
37,2012,jutro,1
38,2012,kaosz,1
39,2012,katalog,1
40,2012,klasy,1
41,2012,klawisz,1
42,2012,kolo,1
43,2012,krawiatura,1
44,2012,ledwo,1
45,2012,lepszy,1
46,2012,litera,1
47,2012,lubie,1
48,2012,mafie,1
49,2012,masz,2
50,2012,mgsm,1
51,2012,mialas,1
52,2012,mialem,1
53,2012,miałaś,1
54,2012,miejsce,1
55,2012,moge,1
56,2012,mojego,1
57,2012,musze,1
58,2012,najgorszy,1
59,2012,narazie,1
60,2012,narka,1
61,2012,niedawno,2
62,2012,ninja,3
63,2012,noga,1
64,2012,nokia,4
65,2012,nowy,1
66,2012,nuda,1
67,2012,nudze,2
68,2012,oprawiam,1
69,2012,ortografie,1
70,2012,ostatnie,1
71,2012,pasuje,1
72,2012,ping,1
73,2012,pisac,1
74,2012,pisze,1
75,2012,piszesz,1
76,2012,placu,1
77,2012,podoba,2
78,2012,pokaze,1
79,2012,pong,1
80,2012,powiem,1
81,2012,programu,1
82,2012,przyjedziesz,1
83,2012,prócz,1
84,2012,robisz,2
85,2012,samsungi,1
86,2012,siata,1
87,2012,siema,2
88,2012,skonczylem,2
89,2012,sorry,2
90,2012,spadac,1
91,2012,sport,1
92,2012,sred,1
93,2012,srednia,1
94,2012,srednią,1
95,2012,srodnia,1
96,2012,stop,1
97,2012,swietlicy,1
98,2012,szkola,1
99,2012,tarasiuk,1
100,2012,telefon,1
101,2012,telefonie,1
102,2012,telefonu,1
103,2012,wiec,1
104,2012,wiem,1
105,2012,wiesz,1
106,2012,wolny,1
107,2012,wracam,1
108,2012,wszysto,1
109,2012,wysoka,1
110,2012,zabaw,1
111,2012,zaczynaj,1
112,2012,zagor,1
113,2012,zagraj,1
